#: table_doi: 10.17182/hepdata.63216.v1/t79
#: name: Table 79
#: description: ET(miss,rel) in Top CR for SR-WWa.

#: data_file: Table79.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DET
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
"ET(miss,rel) [GEV]",Events / 20 GeV,error +,error -
90.0,130.0,12.43,-11.39
110.0,55.0,8.46,-7.39
130.0,15.0,4.95,-3.83
150.0,3.0,2.91,-1.63
170.0,2.0,2.63,-1.29
190.0,0.0,0.0,-0.0
210.0,1.0,2.29,-0.83
230.0,0.0,0.0,-0.0
250.0,0.0,0.0,-0.0

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
"ET(miss,rel) [GEV]",Events / 20 GeV,stat +,stat -,sys +,sys -
90.0,121.05,6.19,-6.19,31.64,-29.16
110.0,51.62,4.1,-4.1,15.25,-13.61
130.0,21.42,2.64,-2.64,7.45,-6.4
150.0,8.67,1.58,-1.58,3.64,-3.0
170.0,2.66,0.85,-0.85,1.55,-1.21
190.0,1.45,0.66,-0.66,1.09,-0.82
210.0,0.51,0.32,-0.32,0.48,-0.36
230.0,0.27,0.27,-0.27,0.38,-0.19
250.0,0.27,0.27,-0.27,0.38,-0.19

