#: table_doi: 10.17182/hepdata.63216.v1/t8
#: name: Table 8
#: description: DF - ET(miss,rel) in SR-WWa w/o M(ll) and ET(miss,rel).

#: data_file: Table8.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DET
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
"ET(miss,rel) [GEV]",Events / 10 GeV,error +,error -
5.0,7.0,3.76,-2.58
15.0,10.0,4.26,-3.1
25.0,4.0,3.15,-1.91
35.0,9.0,4.1,-2.94
45.0,9.0,4.1,-2.94
55.0,21.0,5.65,-4.54
65.0,37.0,7.13,-6.05
75.0,50.0,8.12,-7.04
85.0,38.0,7.22,-6.13
95.0,29.0,6.44,-5.35
105.0,23.0,5.86,-4.76
115.0,10.0,4.26,-3.1
125.0,6.0,3.58,-2.37
135.0,6.0,3.58,-2.37
145.0,1.0,2.29,-0.83
155.0,3.0,2.91,-1.63
165.0,3.0,2.91,-1.63

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
"ET(miss,rel) [GEV]",Events / 10 GeV,stat +,stat -,sys +,sys -
5.0,13.03,4.35,-4.35,0.77,-0.77
15.0,5.19,0.62,-0.62,0.39,-0.39
25.0,7.58,0.96,-0.96,0.55,-0.55
35.0,9.64,1.24,-1.24,0.6,-0.61
45.0,15.69,1.57,-1.57,0.99,-1.05
55.0,18.22,1.55,-1.55,1.25,-1.36
65.0,29.68,1.87,-1.87,1.98,-2.18
75.0,37.7,2.19,-2.19,2.52,-2.84
85.0,38.85,1.99,-1.99,2.63,-2.89
95.0,31.61,1.78,-1.78,2.04,-2.22
105.0,19.64,1.48,-1.48,1.28,-1.6
115.0,12.3,1.09,-1.09,0.88,-0.9
125.0,7.47,1.01,-1.01,0.53,-0.54
135.0,4.72,0.93,-0.93,0.3,-0.36
145.0,2.63,0.51,-0.51,0.19,-0.27
155.0,1.94,0.54,-0.54,0.13,-0.18
165.0,3.29,0.37,-0.37,0.35,-0.32

