#: table_doi: 10.17182/hepdata.63216.v1/t81
#: name: Table 81
#: description: ET(miss,rel) in ZV CR for SR-WWa.

#: data_file: Table81.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DET
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
"ET(miss,rel) [GEV]",Events / 20 GeV,error +,error -
110.0,47.0,7.9,-6.83
130.0,26.0,6.16,-5.06
150.0,18.0,5.32,-4.2
170.0,7.0,3.76,-2.58
190.0,5.0,3.37,-2.15
210.0,2.0,2.63,-1.29
230.0,1.0,2.29,-0.83
250.0,0.0,0.0,-0.0
270.0,0.0,0.0,-0.0
290.0,1.0,2.29,-0.83
310.0,0.0,0.0,-0.0
330.0,1.0,2.29,-0.83
350.0,0.0,0.0,-0.0
370.0,0.0,0.0,-0.0
390.0,0.0,0.0,-0.0

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
"ET(miss,rel) [GEV]",Events / 20 GeV,stat +,stat -,sys +,sys -
110.0,38.8,1.28,-1.28,9.3,-8.78
130.0,25.36,1.29,-1.29,6.62,-6.11
150.0,15.3,0.69,-0.69,3.89,-3.61
170.0,8.92,0.49,-0.49,2.38,-2.18
190.0,5.42,0.39,-0.39,1.55,-1.39
210.0,3.68,0.3,-0.3,1.09,-0.98
230.0,2.53,0.28,-0.28,0.84,-0.73
250.0,1.72,0.18,-0.18,0.56,-0.49
270.0,0.98,0.15,-0.15,0.38,-0.32
290.0,0.63,0.1,-0.1,0.25,-0.21
310.0,0.54,0.1,-0.1,0.23,-0.19
330.0,0.41,0.1,-0.1,0.2,-0.16
350.0,0.18,0.05,-0.05,0.1,-0.08
370.0,0.21,0.06,-0.06,0.11,-0.09
390.0,0.63,0.05,-0.05,0.19,-0.17

