#: table_doi: 10.17182/hepdata.63216.v1/t82
#: name: Table 82
#: description: SF - ET(miss,rel) in SR-MT2 w/o MT2.

#: data_file: Table82.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DET
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
"ET(miss,rel) [GEV]",Events / 10 GeV,error +,error -
5.0,318610.0,565.46,-564.46
15.0,201439.0,449.82,-448.82
25.0,89763.0,300.61,-299.6
35.0,32212.0,180.48,-179.48
45.0,10255.0,102.27,-101.27
55.0,3376.0,59.11,-58.1
65.0,1184.0,35.42,-34.4
75.0,504.0,23.46,-22.44
85.0,247.0,16.74,-15.71
95.0,119.0,11.94,-10.89
105.0,49.0,8.05,-6.98
115.0,22.0,5.76,-4.65
125.0,12.0,4.56,-3.42
135.0,3.0,2.92,-1.63
145.0,3.0,2.92,-1.63
155.0,4.0,3.16,-1.91
165.0,1.0,2.3,-0.83
175.0,3.0,2.92,-1.63
185.0,0.0,0.0,-0.0
195.0,1.0,2.3,-0.83

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
"ET(miss,rel) [GEV]",Events / 10 GeV,stat +,stat -,sys +,sys -
5.0,277966.03,1027.23,-1027.23,32047.61,-14358.03
15.0,178491.22,813.4,-813.4,19903.58,-4750.91
25.0,81539.25,536.56,-536.56,11945.53,-6589.83
35.0,29248.87,312.13,-312.13,6747.21,-4552.81
45.0,9269.38,167.3,-167.3,2700.0,-1723.76
55.0,2959.38,86.24,-86.24,1236.79,-692.06
65.0,1091.25,45.32,-45.32,360.85,-239.06
75.0,449.97,19.45,-19.45,174.69,-32.84
85.0,264.96,15.27,-15.27,22.51,-39.72
95.0,113.84,6.3,-6.3,42.08,-19.13
105.0,47.8,2.57,-2.57,15.83,-3.72
115.0,27.11,1.87,-1.87,7.84,-4.29
125.0,12.16,1.21,-1.21,2.48,-0.85
135.0,7.79,0.97,-0.97,1.03,-0.7
145.0,4.33,0.69,-0.69,1.16,-0.71
155.0,2.29,0.41,-0.41,0.78,-0.46
165.0,1.87,0.41,-0.41,0.29,-0.29
175.0,1.22,0.26,-0.26,0.46,-0.1
185.0,0.88,0.2,-0.2,0.15,-0.23
195.0,3.23,0.45,-0.45,0.61,-0.22

