#: table_doi: 10.17182/hepdata.63216.v1/t83
#: name: Table 83
#: description: DF - ET(miss,rel) in SR-MT2 w/o MT2.

#: data_file: Table83.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DET
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
"ET(miss,rel) [GEV]",Events / 10 GeV,error +,error -
5.0,2597.0,51.97,-50.96
15.0,1916.0,44.78,-43.77
25.0,1126.0,34.57,-33.55
35.0,737.0,28.16,-27.14
45.0,582.0,25.14,-24.12
55.0,494.0,23.24,-22.22
65.0,386.0,20.66,-19.64
75.0,299.0,18.31,-17.28
85.0,161.0,13.71,-12.68
95.0,86.0,10.31,-9.26
105.0,42.0,7.53,-6.45
115.0,20.0,5.55,-4.43
125.0,7.0,3.77,-2.58
135.0,7.0,3.77,-2.58
145.0,1.0,2.3,-0.83
155.0,3.0,2.92,-1.63
165.0,1.0,2.3,-0.83
175.0,0.0,0.0,-0.0
185.0,0.0,0.0,-0.0
195.0,2.0,2.64,-1.29

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
"ET(miss,rel) [GEV]",Events / 10 GeV,stat +,stat -,sys +,sys -
5.0,2613.31,77.93,-77.93,213.64,-148.19
15.0,1781.0,58.35,-58.35,210.61,-66.19
25.0,1120.39,38.24,-38.24,132.45,-71.98
35.0,762.83,23.56,-23.56,98.67,-35.66
45.0,604.33,13.68,-13.68,75.33,-34.09
55.0,496.67,8.47,-8.47,64.14,-26.29
65.0,401.1,7.12,-7.12,47.42,-23.34
75.0,280.56,5.41,-5.41,34.66,-15.08
85.0,161.2,3.86,-3.86,28.45,-9.2
95.0,88.08,3.11,-3.11,14.51,-8.84
105.0,40.62,2.2,-2.2,7.4,-4.4
115.0,19.37,1.63,-1.63,5.35,-3.09
125.0,9.77,1.17,-1.17,2.69,-1.86
135.0,5.5,1.01,-1.01,1.26,-0.25
145.0,2.99,0.57,-0.57,1.02,-0.25
155.0,2.04,0.55,-0.55,0.69,-0.83
165.0,0.69,0.18,-0.18,0.44,-0.11
175.0,0.29,0.11,-0.11,0.12,-0.1
185.0,0.11,0.04,-0.04,0.29,-0.03
195.0,1.5,0.29,-0.29,0.32,-0.26

