#: table_doi: 10.17182/hepdata.63216.v1/t84
#: name: Table 84
#: description: Number of generated events for Fig. 06a.

#: data_file: Table84.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],Number of Generated Events
100.0,0.0,200000.0
150.0,0.0,200000.0
150.0,50.0,20000.0
200.0,0.0,200000.0
200.0,50.0,20000.0
200.0,100.0,20000.0
250.0,0.0,200000.0
250.0,50.0,20000.0
250.0,100.0,20000.0
250.0,150.0,20000.0
110.0,0.0,220000.0
120.0,0.0,220000.0
130.0,0.0,220000.0
140.0,0.0,220000.0
160.0,0.0,110000.0
170.0,0.0,110000.0
180.0,0.0,110000.0
190.0,0.0,110000.0
210.0,0.0,55000.0
220.0,0.0,55000.0
230.0,0.0,55000.0
240.0,0.0,55000.0
100.0,10.0,100000.0
110.0,10.0,100000.0
120.0,10.0,100000.0
130.0,10.0,100000.0
140.0,10.0,100000.0
150.0,10.0,100000.0
160.0,10.0,100000.0
170.0,10.0,100000.0
180.0,10.0,100000.0
190.0,10.0,100000.0
200.0,10.0,100000.0
210.0,10.0,100000.0
220.0,10.0,100000.0
230.0,10.0,100000.0
240.0,10.0,100000.0
250.0,10.0,100000.0
100.0,20.0,100000.0
110.0,20.0,100000.0
120.0,20.0,100000.0
130.0,20.0,100000.0
140.0,20.0,100000.0
150.0,20.0,100000.0
160.0,20.0,100000.0
170.0,20.0,100000.0
180.0,20.0,100000.0
190.0,20.0,100000.0
200.0,20.0,100000.0
210.0,20.0,100000.0
220.0,20.0,100000.0
230.0,20.0,100000.0
240.0,20.0,100000.0
250.0,20.0,100000.0
110.0,30.0,100000.0
120.0,30.0,100000.0
130.0,30.0,100000.0
140.0,30.0,100000.0
150.0,30.0,100000.0
160.0,30.0,100000.0
170.0,30.0,100000.0
180.0,30.0,100000.0
190.0,30.0,100000.0
200.0,30.0,100000.0
210.0,30.0,100000.0
220.0,30.0,100000.0
230.0,30.0,100000.0
240.0,30.0,100000.0
250.0,30.0,100000.0
120.0,40.0,20000.0
130.0,40.0,20000.0
140.0,40.0,20000.0
150.0,40.0,20000.0
160.0,40.0,10000.0
170.0,40.0,10000.0
180.0,40.0,10000.0
190.0,40.0,10000.0
200.0,40.0,10000.0
210.0,40.0,5000.0
220.0,40.0,5000.0
230.0,40.0,5000.0
240.0,40.0,5000.0
250.0,40.0,5000.0
130.0,50.0,20000.0
140.0,50.0,20000.0
160.0,50.0,10000.0
170.0,50.0,10000.0
180.0,50.0,10000.0
190.0,50.0,10000.0
210.0,50.0,5000.0
220.0,50.0,5000.0
230.0,50.0,5000.0
240.0,50.0,5000.0
140.0,60.0,20000.0
150.0,60.0,20000.0
160.0,60.0,10000.0
170.0,60.0,10000.0
180.0,60.0,10000.0
190.0,60.0,10000.0
200.0,60.0,10000.0
210.0,60.0,5000.0
220.0,60.0,5000.0
230.0,60.0,5000.0
240.0,60.0,5000.0
250.0,60.0,5000.0
150.0,70.0,20000.0
160.0,70.0,10000.0
170.0,70.0,10000.0
180.0,70.0,10000.0
190.0,70.0,10000.0
200.0,70.0,10000.0
210.0,70.0,5000.0
220.0,70.0,5000.0
230.0,70.0,5000.0
240.0,70.0,5000.0
250.0,70.0,5000.0
160.0,80.0,10000.0
170.0,80.0,10000.0
180.0,80.0,10000.0
190.0,80.0,10000.0
200.0,80.0,10000.0
210.0,80.0,5000.0
220.0,80.0,5000.0
230.0,80.0,5000.0
240.0,80.0,5000.0
250.0,80.0,5000.0
170.0,90.0,10000.0
180.0,90.0,10000.0
190.0,90.0,10000.0
200.0,90.0,10000.0
210.0,90.0,5000.0
220.0,90.0,5000.0
230.0,90.0,5000.0
240.0,90.0,5000.0
250.0,90.0,5000.0
180.0,100.0,10000.0
190.0,100.0,10000.0
210.0,100.0,5000.0
220.0,100.0,5000.0
230.0,100.0,5000.0
240.0,100.0,5000.0
190.0,110.0,10000.0
200.0,110.0,10000.0
210.0,110.0,5000.0
220.0,110.0,5000.0
230.0,110.0,5000.0
240.0,110.0,5000.0
250.0,110.0,5000.0
200.0,120.0,10000.0
210.0,120.0,5000.0
220.0,120.0,5000.0
230.0,120.0,5000.0
240.0,120.0,5000.0
250.0,120.0,5000.0
210.0,130.0,5000.0
220.0,130.0,5000.0
230.0,130.0,5000.0
240.0,130.0,5000.0
250.0,130.0,5000.0
220.0,140.0,5000.0
230.0,140.0,5000.0
240.0,140.0,5000.0
250.0,140.0,5000.0
230.0,150.0,5000.0
240.0,150.0,5000.0
240.0,160.0,5000.0
250.0,160.0,5000.0
250.0,170.0,5000.0

