#: table_doi: 10.17182/hepdata.63216.v1/t85
#: name: Table 85
#: description: Number of generated events for Fig. 05.

#: data_file: Table85.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],Number of Generated Events
112.5,12.5,40000.0
112.5,47.5,40000.0
117.5,82.5,40000.0
130.0,30.0,40000.0
132.5,67.5,40000.0
142.5,107.5,40000.0
150.0,50.0,40000.0
155.0,5.0,40000.0
157.5,92.5,40000.0
175.0,25.0,40000.0
175.0,75.0,40000.0
192.5,157.5,40000.0
200.0,50.0,40000.0
207.5,142.5,40000.0
225.0,125.0,40000.0
250.0,0.0,40000.0
250.0,100.0,40000.0
267.5,232.5,40000.0
282.5,217.5,40000.0
300.0,50.0,40000.0
300.0,200.0,40000.0
325.0,175.0,40000.0
330.0,295.0,40000.0
345.0,280.0,40000.0
350.0,0.0,40000.0
362.5,262.5,40000.0
375.0,125.0,40000.0
387.5,237.5,40000.0
392.5,357.5,40000.0
407.5,342.5,40000.0
425.0,75.0,40000.0
425.0,325.0,40000.0
437.5,187.5,40000.0
450.0,300.0,40000.0
487.5,137.5,40000.0
500.0,0.0,40000.0
500.0,250.0,40000.0
517.5,482.5,40000.0
532.5,467.5,40000.0
550.0,200.0,40000.0
550.0,450.0,40000.0
562.5,62.5,40000.0
575.0,425.0,40000.0
625.0,0.0,40000.0
625.0,125.0,40000.0
625.0,375.0,40000.0
642.5,607.5,40000.0
675.0,325.0,40000.0
675.0,575.0,40000.0
687.5,62.5,40000.0
700.0,550.0,40000.0
750.0,0.0,40000.0
750.0,250.0,40000.0
750.0,500.0,40000.0

