#: table_doi: 10.17182/hepdata.63216.v1/t86
#: name: Table 86
#: description: Number of generated events for Fig. 07a.

#: data_file: Table86.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
"M(CHARGINO1,NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV],Number of Generated Events
100.0,0.0,20000.0
100.0,50.0,20000.0
150.0,0.0,20000.0
150.0,50.0,20000.0
150.0,100.0,20000.0
200.0,0.0,20000.0
200.0,50.0,20000.0
200.0,100.0,20000.0
200.0,150.0,20000.0
250.0,0.0,20000.0
250.0,50.0,20000.0
250.0,100.0,20000.0
250.0,150.0,20000.0
250.0,200.0,20000.0
300.0,0.0,20000.0
300.0,50.0,20000.0
300.0,100.0,20000.0
300.0,150.0,20000.0
300.0,200.0,20000.0
300.0,250.0,20000.0
350.0,0.0,20000.0
350.0,50.0,20000.0
350.0,100.0,20000.0
350.0,150.0,20000.0
350.0,200.0,20000.0
350.0,250.0,20000.0
350.0,300.0,20000.0
400.0,0.0,20000.0
400.0,50.0,20000.0
400.0,100.0,20000.0
400.0,150.0,20000.0
400.0,200.0,20000.0
400.0,250.0,20000.0
400.0,300.0,20000.0
400.0,350.0,20000.0
450.0,0.0,20000.0
450.0,50.0,20000.0
450.0,100.0,20000.0
450.0,150.0,20000.0
450.0,200.0,20000.0
450.0,250.0,20000.0
450.0,300.0,20000.0
450.0,350.0,20000.0
450.0,400.0,20000.0
500.0,0.0,20000.0
500.0,100.0,20000.0
500.0,200.0,20000.0
500.0,300.0,20000.0
500.0,400.0,20000.0
500.0,450.0,20000.0

