#: table_doi: 10.17182/hepdata.63216.v1/t87
#: name: Table 87
#: description: Number of generated events for Fig. 08a.

#: data_file: Table87.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Number of Generated Events
100.0,19.8,1461.0
100.0,29.8,1548.0
100.0,49.8,1521.0
109.0,0.2,1437.0
118.3,9.8,1545.0
118.3,29.8,1540.0
118.3,49.8,1492.0
127.6,0.2,1496.0
127.6,19.8,1514.0
127.6,39.8,1504.0
127.6,59.8,1523.0
137.1,9.8,1494.0
137.1,29.8,1475.0
137.1,49.8,1174.0
137.1,69.8,1484.0
146.6,39.8,1544.0
146.6,59.8,1484.0
146.6,79.8,1509.0
156.2,9.8,1514.0
156.2,29.8,1458.0
156.2,49.8,1478.0
156.2,69.8,1482.0
156.2,89.8,1569.0
165.8,0.2,1488.0
165.8,19.8,1506.0
165.8,39.8,1159.0
165.8,59.8,1443.0
165.8,79.8,1491.0
175.5,9.8,1498.0
175.5,29.8,1535.0
175.5,49.8,1503.0
175.5,69.8,1496.0
175.5,89.8,1464.0
185.2,39.8,1476.0
185.2,59.8,1470.0
185.2,79.8,1446.0
194.9,9.8,1413.0
194.9,29.8,1455.0
194.9,49.8,1415.0
194.9,69.8,1492.0
204.7,0.2,1437.0
204.7,19.8,1435.0
204.7,39.8,1464.0
204.7,59.8,1555.0
214.5,9.8,1446.0
214.5,29.8,1526.0
214.5,49.8,1494.0
224.3,0.2,1474.0
224.3,19.8,1425.0
224.3,39.8,1425.0
234.1,29.8,1421.0
100.0,0.2,1465.0
100.0,39.8,1495.0
103.6,69.8,1556.0
107.2,59.8,1520.0
113.6,79.8,1439.0
117.4,69.8,1491.0
123.9,89.8,1487.0
127.6,79.8,1510.0
135.2,99.8,1491.0
138.0,89.8,1554.0
145.6,109.8,1497.0
148.5,99.8,1546.0
156.2,119.8,1460.0
160.0,109.8,1518.0
163.9,99.8,1563.0
166.8,129.8,1551.0
170.6,119.8,1523.0
174.5,109.8,1577.0
177.4,139.8,1494.0
181.3,129.8,1511.0
185.2,119.8,1505.0
185.2,159.8,1494.0
189.1,109.8,1468.0
189.1,149.8,1530.0
193.0,99.8,1497.0
193.0,139.8,1506.0
195.9,89.8,1476.0
195.9,129.8,1542.0
195.9,169.8,1555.0
199.8,79.8,1472.0
199.8,119.8,1480.0
199.8,159.8,1499.0
203.7,109.8,1565.0
203.7,149.8,1545.0
206.6,99.8,1556.0
206.6,139.8,1453.0
206.6,179.8,1502.0
210.5,89.8,1517.0
210.5,129.8,1460.0
210.5,169.8,1486.0
214.5,79.8,1488.0
214.5,119.8,1515.0
214.5,159.8,1496.0
218.4,69.8,1497.0
218.4,109.8,1501.0
218.4,149.8,1510.0
