#: table_doi: 10.17182/hepdata.63216.v1/t88
#: name: Table 88
#: description: Number of events generated for Fig. 08b.

#: data_file: Table88.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Number of Generated Events
101.4,19.8,3529.0
101.4,29.8,3441.0
101.4,49.8,3477.0
110.4,0.2,3541.0
119.5,9.8,3431.0
119.5,29.8,3450.0
119.5,49.8,3502.0
128.8,0.2,3473.0
128.8,19.8,3461.0
128.8,39.8,3485.0
128.8,59.8,3477.0
138.1,9.8,3469.0
138.1,29.8,3509.0
138.1,49.8,2823.0
138.1,69.8,3511.0
147.6,39.8,3432.0
147.6,59.8,3512.0
147.6,79.8,3489.0
157.1,9.8,3415.0
157.1,29.8,3497.0
157.1,49.8,3512.0
157.1,69.8,3514.0
157.1,89.8,3427.0
166.7,0.2,3420.0
166.7,19.8,3404.0
166.7,39.8,2811.0
166.7,59.8,3552.0
166.7,79.8,3502.0
176.3,9.8,3390.0
176.3,29.8,3400.0
176.3,49.8,3481.0
176.3,69.8,3499.0
176.3,89.8,3530.0
186.0,39.8,3468.0
186.0,59.8,3522.0
186.0,79.8,3546.0
195.7,9.8,3410.0
195.7,29.8,3475.0
195.7,49.8,3562.0
195.7,69.8,3496.0
205.4,0.2,3364.0
205.4,19.8,3377.0
205.4,39.8,3466.0
205.4,59.8,3434.0
215.1,9.8,3370.0
215.1,29.8,3314.0
215.1,49.8,3469.0
224.9,0.2,3335.0
224.9,19.8,3316.0
224.9,39.8,3451.0
234.7,29.8,3356.0
101.4,0.2,3525.0
101.4,39.8,3498.0
105.0,69.8,3443.0
108.6,59.8,3479.0
114.9,79.8,3559.0
118.6,69.8,3508.0
125.1,89.8,3510.0
128.8,79.8,3489.0
136.3,99.8,3505.0
139.1,89.8,3441.0
146.6,109.8,3500.0
149.5,99.8,3452.0
157.1,119.8,3536.0
160.9,109.8,3481.0
164.8,99.8,3434.0
167.6,129.8,3445.0
171.5,119.8,3472.0
175.3,109.8,3417.0
178.2,139.8,3499.0
182.1,129.8,3481.0
186.0,119.8,3491.0
186.0,159.8,3501.0
189.8,109.8,3521.0
189.8,149.8,3466.0
193.7,99.8,3493.0
193.7,139.8,3489.0
196.6,89.8,3517.0
196.6,129.8,3454.0
196.6,169.8,3439.0
200.5,79.8,3520.0
200.5,119.8,3511.0
200.5,159.8,3495.0
204.4,109.8,3428.0
204.4,149.8,3449.0
207.3,99.8,3437.0
207.3,139.8,3541.0
207.3,179.8,3493.0
211.2,89.8,3469.0
211.2,129.8,3531.0
211.2,169.8,3508.0
215.1,79.8,3500.0
215.1,119.8,3475.0
215.1,159.8,3499.0
219.0,69.8,3479.0
219.0,109.8,3485.0
219.0,149.8,3480.0
219.0,189.8,3487.0
223.0,59.8,3522.0
223.0,99.8,3515.0
223.0,139.8,3516.0
223.0,179.8,3416.0
225.9,49.8,3488.0
225.9,89.8,3420.0
225.9,129.8,3475.0
225.9,169.8,3514.0
229.8,79.8,3448.0
229.8,119.8,3469.0
229.8,159.8,3504.0
229.8,199.8,3446.0
233.7,69.8,3464.0
233.7,109.8,3512.0
233.7,149.8,3441.0
233.7,189.8,3464.0
236.7,19.8,3256.0
236.7,59.8,3521.0
236.7,99.8,3475.0
236.7,139.8,3497.0
240.6,9.8,3252.0
240.6,49.8,3469.0
240.6,89.8,3432.0
240.6,129.8,3422.0
240.6,169.8,3431.0
244.5,0.2,3224.0
244.5,39.8,3385.0
244.5,79.8,3502.0
244.5,119.8,3531.0
244.5,159.8,3492.0
244.5,199.8,3472.0
248.4,29.8,3336.0
248.4,69.8,3458.0
248.4,109.8,3464.0
248.4,149.8,3445.0
248.4,189.8,3460.0
252.4,19.8,3235.0
252.4,59.8,3440.0
252.4,99.8,3509.0
252.4,139.8,3468.0
252.4,179.8,3490.0
255.3,9.8,3223.0
255.3,49.8,3352.0
255.3,89.8,3447.0
255.3,129.8,3483.0
255.3,169.8,3462.0
259.2,0.2,3233.0
259.2,39.8,3328.0
259.2,79.8,3487.0
259.2,119.8,3515.0
259.2,159.8,3523.0
259.2,199.8,3447.0
263.2,29.8,3221.0
263.2,69.8,3483.0
263.2,109.8,3481.0
263.2,149.8,3479.0
263.2,189.8,3469.0
266.1,19.8,3119.0
266.1,59.8,3471.0
266.1,99.8,3502.0
266.1,139.8,3462.0
266.1,179.8,3537.0
270.1,9.8,3126.0
270.1,49.8,3412.0
270.1,89.8,3472.0
270.1,129.8,3482.0
270.1,169.8,3473.0
274.0,0.2,3060.0
274.0,39.8,3322.0
274.0,79.8,3466.0
274.0,119.8,3420.0
274.0,159.8,3481.0
274.0,199.8,3452.0
278.0,29.8,3124.0
278.0,69.8,3467.0
278.0,109.8,3476.0
278.0,149.8,3474.0
278.0,189.8,3501.0
281.9,19.8,3003.0
281.9,59.8,3426.0
281.9,99.8,3474.0
281.9,139.8,3488.0
281.9,179.8,3472.0
284.9,49.8,3440.0
284.9,89.8,3487.0
284.9,129.8,3497.0
284.9,169.8,3482.0
288.8,0.2,2994.0
288.8,39.8,3281.0
288.8,79.8,3508.0
288.8,119.8,3482.0
288.8,159.8,3528.0
288.8,199.8,3476.0
292.8,29.8,3067.0
292.8,69.8,3467.0
292.8,109.8,3474.0
292.8,149.8,3477.0
292.8,189.8,3474.0
295.7,19.8,2933.0
295.7,59.8,3459.0
295.7,99.8,3495.0
295.7,139.8,3447.0
295.7,179.8,3488.0
299.7,9.8,2881.0
299.7,49.8,3320.0
299.7,89.8,3418.0
299.7,129.8,3498.0
299.7,169.8,3410.0
303.6,0.2,2844.0
303.6,39.8,3175.0
303.6,119.8,3529.0
303.6,159.8,3499.0
240.6,209.8,3491.0
255.3,209.8,3426.0
270.1,209.8,3462.0
284.9,209.8,3492.0
299.7,209.8,3483.0
305.6,74.8,3419.0
305.6,194.8,3460.0
307.6,29.8,2908.0
307.6,149.8,3399.0
309.5,104.8,3490.0
311.5,59.8,3446.0
311.5,179.8,3456.0
312.5,14.8,2703.0
312.5,134.8,3458.0
314.5,89.8,3446.0
314.5,209.8,3477.0
316.5,44.8,3243.0
316.5,164.8,3415.0
318.4,0.2,2690.0
318.4,119.8,3440.0
320.4,74.8,3370.0
320.4,194.8,3447.0
322.4,29.8,2923.0
322.4,149.8,3419.0
324.4,104.8,3468.0
325.4,59.8,3438.0
325.4,179.8,2724.0
327.4,14.8,2646.0
327.4,134.8,3442.0
329.3,89.8,3383.0
329.3,209.8,3464.0
331.3,44.8,3099.0
331.3,164.8,3446.0
333.3,0.2,2509.0
333.3,119.8,3446.0
335.3,74.8,3455.0
335.3,194.8,3456.0
337.3,29.8,2778.0
337.3,149.8,3437.0
339.2,104.8,2711.0
341.2,59.8,3376.0
