#: table_doi: 10.17182/hepdata.63216.v1/t89
#: name: Table 89
#: description: Number of events generated for Fig. 08c.

#: data_file: Table89.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Number of Generated Events
100.0,19.8,4990.0
100.0,29.8,4989.0
100.0,49.8,4998.0
109.0,0.2,4978.0
118.3,9.8,4976.0
118.3,29.8,4990.0
118.3,49.8,4994.0
127.6,0.2,4969.0
127.6,19.8,4975.0
127.6,39.8,4989.0
127.6,59.8,5000.0
137.1,9.8,4964.0
137.1,29.8,4984.0
137.1,49.8,3997.0
137.1,69.8,4996.0
146.6,39.8,4976.0
146.6,59.8,4997.0
146.6,79.8,4998.0
156.2,9.8,4929.0
156.2,29.8,4955.0
156.2,49.8,4990.0
156.2,69.8,4996.0
156.2,89.8,4997.0
165.8,0.2,4908.0
165.8,19.8,4910.0
165.8,39.8,3969.0
165.8,59.8,4995.0
165.8,79.8,4993.0
175.5,9.8,4888.0
175.5,29.8,4935.0
175.5,49.8,4984.0
175.5,69.8,4995.0
175.5,89.8,4994.0
185.2,39.8,4945.0
185.2,59.8,4992.0
185.2,79.8,4992.0
194.9,9.8,4823.0
194.9,29.8,4930.0
194.9,49.8,4977.0
194.9,69.8,4989.0
204.7,0.2,4801.0
204.7,19.8,4812.0
204.7,39.8,4930.0
204.7,59.8,4989.0
214.5,9.8,4816.0
214.5,29.8,4840.0
214.5,49.8,4963.0
224.3,0.2,4809.0
224.3,19.8,4741.0
224.3,39.8,4876.0
234.1,29.8,4777.0
100.0,0.2,4990.0
100.0,39.8,4993.0
103.6,69.8,4999.0
107.2,59.8,4999.0
113.6,79.8,4998.0
117.4,69.8,4999.0
123.9,89.8,4997.0
127.6,79.8,4999.0
135.2,99.8,4996.0
138.0,89.8,4995.0
145.6,109.8,4997.0
148.5,99.8,4998.0
156.2,119.8,4996.0
160.0,109.8,4999.0
163.9,99.8,4997.0
166.8,129.8,4996.0
170.6,119.8,4995.0
174.5,109.8,4994.0
177.4,139.8,4993.0
181.3,129.8,4992.0
185.2,119.8,4996.0
185.2,159.8,4995.0
189.1,109.8,4990.0
189.1,149.8,4996.0
193.0,99.8,4990.0
193.0,139.8,4995.0
195.9,89.8,4993.0
195.9,129.8,4996.0
195.9,169.8,4994.0
199.8,79.8,4993.0
199.8,119.8,4991.0
199.8,159.8,4994.0
203.7,109.8,4993.0
203.7,149.8,4994.0
206.6,99.8,4993.0
206.6,139.8,4994.0
206.6,179.8,4995.0
210.5,89.8,4986.0
210.5,129.8,4991.0
210.5,169.8,4994.0
214.5,79.8,4988.0
214.5,119.8,4990.0
214.5,159.8,4995.0
218.4,69.8,4976.0
218.4,109.8,4986.0
218.4,149.8,4990.0
218.4,189.8,4995.0
222.3,59.8,4984.0
222.3,99.8,4988.0
222.3,139.8,4991.0
222.3,179.8,4994.0
225.2,49.8,4955.0
225.2,89.8,4991.0
225.2,129.8,4988.0
225.2,169.8,4987.0
229.2,79.8,4974.0
229.2,119.8,4982.0
229.2,159.8,4989.0
229.2,199.8,4990.0
233.1,69.8,4988.0
233.1,109.8,4987.0
233.1,149.8,4990.0
233.1,189.8,4991.0
236.0,19.8,4686.0
236.0,59.8,4976.0
236.0,99.8,4987.0
236.0,139.8,4994.0
240.0,9.8,4610.0
240.0,49.8,4933.0
240.0,89.8,4980.0
240.0,129.8,4980.0
240.0,169.8,4981.0
243.9,0.2,4573.0
243.9,39.8,4833.0
243.9,79.8,4977.0
243.9,119.8,4980.0
243.9,159.8,4986.0
243.9,199.8,4986.0
247.8,29.8,4729.0
247.8,69.8,4973.0
247.8,109.8,4973.0
247.8,149.8,4978.0
247.8,189.8,4990.0
251.8,19.8,4593.0
251.8,59.8,4968.0
251.8,99.8,4983.0
251.8,139.8,4975.0
251.8,179.8,4988.0
254.7,9.8,4531.0
254.7,49.8,4918.0
254.7,89.8,4978.0
254.7,129.8,4979.0
254.7,169.8,4986.0
258.7,0.2,4514.0
258.7,39.8,4767.0
258.7,79.8,4971.0
258.7,119.8,4973.0
258.7,159.8,4981.0
