#: table_doi: 10.17182/hepdata.63216.v1/t9
#: name: Table 9
#: description: SF - MT2 in SR-MT2 w/o MT2.

#: data_file: Table9.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: DN/DM
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X,,,
#: SQRT(S) [GeV],8000.0
#: ,data
MT2 [GEV],Events / 10 GeV,error +,error -
5.0,524522.0,725.24,-724.24
15.0,103975.0,323.45,-322.45
25.0,22344.0,150.48,-149.48
35.0,4408.0,67.4,-66.39
45.0,1212.0,35.82,-34.81
55.0,618.0,25.87,-24.85
65.0,405.0,21.14,-20.12
75.0,220.0,15.85,-14.82
85.0,70.0,9.41,-8.35
95.0,23.0,5.87,-4.76
105.0,2.0,2.64,-1.29
115.0,3.0,2.92,-1.63
125.0,1.0,2.3,-0.83
135.0,1.0,2.3,-0.83
145.0,0.0,0.0,-0.0
155.0,0.0,0.0,-0.0
165.0,2.0,2.64,-1.29
175.0,0.0,0.0,-0.0
185.0,0.0,0.0,-0.0
195.0,1.0,2.3,-0.83

#: RE,P P --> CHARGINO+ CHARGINO- X,,,,,
#: SQRT(S) [GeV],8000.0
#: ,bg
MT2 [GEV],Events / 10 GeV,stat +,stat -,sys +,sys -
5.0,461885.32,1309.65,-1309.65,48075.79,-11369.64
15.0,93994.14,586.68,-586.68,13030.73,-2307.78
25.0,19189.26,258.97,-258.97,4346.48,-537.94
35.0,3944.27,108.02,-108.02,1113.51,-132.72
45.0,1139.08,41.76,-41.76,409.49,-41.35
55.0,629.42,18.52,-18.52,135.67,-31.7
65.0,406.51,8.17,-8.17,65.01,-19.83
75.0,211.25,5.05,-5.05,28.76,-12.03
85.0,65.89,2.86,-2.86,14.28,-3.75
95.0,17.48,1.25,-1.25,3.47,-0.89
105.0,6.77,0.96,-0.96,1.21,-0.61
115.0,4.57,0.56,-0.56,1.19,-0.67
125.0,3.03,0.47,-0.47,0.27,-0.23
135.0,1.59,0.26,-0.26,0.34,-0.16
145.0,1.05,0.19,-0.19,0.35,-0.1
155.0,0.67,0.15,-0.15,0.28,-0.12
165.0,0.63,0.23,-0.23,0.09,-0.1
175.0,0.34,0.09,-0.09,0.23,-0.1
185.0,0.32,0.1,-0.1,0.08,-0.07
195.0,1.24,0.19,-0.19,0.17,-0.13

