#: table_doi: 10.17182/hepdata.63216.v1/t90
#: name: Table 90
#: description: Production cross-sections in Fig. 06a.

#: data_file: Table90.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],SIG(NLO) [PB]
100.0,0.0,5.769101
150.0,0.0,1.223216
150.0,50.0,1.223216
200.0,0.0,0.3918129
200.0,50.0,0.3918129
200.0,100.0,0.3918129
250.0,0.0,0.1560016
250.0,50.0,0.1560016
250.0,100.0,0.1560016
250.0,150.0,0.1560016
110.0,0.0,3.987679
120.0,0.0,2.854324
130.0,0.0,2.10935
140.0,0.0,1.582806
160.0,0.0,0.9435887
170.0,0.0,0.7452842
180.0,0.0,0.5939497
190.0,0.0,0.4806173
210.0,0.0,0.3220043
220.0,0.0,0.266302
230.0,0.0,0.2205775
240.0,0.0,0.1852978
100.0,10.0,5.769101
110.0,10.0,3.987679
120.0,10.0,2.854324
130.0,10.0,2.10935
140.0,10.0,1.582806
150.0,10.0,1.223216
160.0,10.0,0.9435887
170.0,10.0,0.7452842
180.0,10.0,0.5939497
190.0,10.0,0.4806173
200.0,10.0,0.3918129
210.0,10.0,0.3220043
220.0,10.0,0.266302
230.0,10.0,0.2205775
240.0,10.0,0.1852978
250.0,10.0,0.1560016
100.0,20.0,5.769101
110.0,20.0,3.987679
120.0,20.0,2.854324
130.0,20.0,2.10935
140.0,20.0,1.582806
150.0,20.0,1.223216
160.0,20.0,0.9435887
170.0,20.0,0.7452842
180.0,20.0,0.5939497
190.0,20.0,0.4806173
200.0,20.0,0.3918129
210.0,20.0,0.3220043
220.0,20.0,0.266302
230.0,20.0,0.2205775
240.0,20.0,0.1852978
250.0,20.0,0.1560016
110.0,30.0,3.987679
120.0,30.0,2.854324
130.0,30.0,2.10935
140.0,30.0,1.582806
150.0,30.0,1.223216
160.0,30.0,0.9435887
170.0,30.0,0.7452842
180.0,30.0,0.5939497
190.0,30.0,0.4806173
200.0,30.0,0.3918129
210.0,30.0,0.3220043
220.0,30.0,0.266302
230.0,30.0,0.2205775
240.0,30.0,0.1852978
250.0,30.0,0.1560016
120.0,40.0,2.854324
130.0,40.0,2.10935
140.0,40.0,1.582806
150.0,40.0,1.223216
160.0,40.0,0.9435887
170.0,40.0,0.7452842
180.0,40.0,0.5939497
190.0,40.0,0.4806173
200.0,40.0,0.3918129
210.0,40.0,0.3220043
220.0,40.0,0.266302
230.0,40.0,0.2205775
240.0,40.0,0.1852978
250.0,40.0,0.1560016
130.0,50.0,2.10935
140.0,50.0,1.582806
160.0,50.0,0.9435887
170.0,50.0,0.7452842
180.0,50.0,0.5939497
190.0,50.0,0.4806173
210.0,50.0,0.3220043
220.0,50.0,0.266302
230.0,50.0,0.2205775
240.0,50.0,0.1852978
140.0,60.0,1.582806
150.0,60.0,1.223216
160.0,60.0,0.9435887
170.0,60.0,0.7452842
180.0,60.0,0.5939497
190.0,60.0,0.4806173
200.0,60.0,0.3918129
210.0,60.0,0.3220043
220.0,60.0,0.266302
230.0,60.0,0.2205775
240.0,60.0,0.1852978
250.0,60.0,0.1560016
150.0,70.0,1.223216
160.0,70.0,0.9435887
170.0,70.0,0.7452842
180.0,70.0,0.5939497
190.0,70.0,0.4806173
200.0,70.0,0.3918129
210.0,70.0,0.3220043
220.0,70.0,0.266302
230.0,70.0,0.2205775
240.0,70.0,0.1852978
250.0,70.0,0.1560016
160.0,80.0,0.9435887
170.0,80.0,0.7452842
180.0,80.0,0.5939497
190.0,80.0,0.4806173
200.0,80.0,0.3918129
210.0,80.0,0.3220043
220.0,80.0,0.266302
230.0,80.0,0.2205775
240.0,80.0,0.1852978
250.0,80.0,0.1560016
170.0,90.0,0.7452842
180.0,90.0,0.5939497
190.0,90.0,0.4806173
200.0,90.0,0.3918129
210.0,90.0,0.3220043
220.0,90.0,0.266302
230.0,90.0,0.2205775
240.0,90.0,0.1852978
250.0,90.0,0.1560016
180.0,100.0,0.5939497
190.0,100.0,0.4806173
210.0,100.0,0.3220043
220.0,100.0,0.266302
230.0,100.0,0.2205775
240.0,100.0,0.1852978
190.0,110.0,0.4806173
200.0,110.0,0.3918129
210.0,110.0,0.3220043
220.0,110.0,0.266302
230.0,110.0,0.2205775
240.0,110.0,0.1852978
250.0,110.0,0.1560016
200.0,120.0,0.3918129
210.0,120.0,0.3220043
220.0,120.0,0.266302
230.0,120.0,0.2205775
240.0,120.0,0.1852978
250.0,120.0,0.1560016
210.0,130.0,0.3220043
220.0,130.0,0.266302
230.0,130.0,0.2205775
240.0,130.0,0.1852978
250.0,130.0,0.1560016
220.0,140.0,0.266302
230.0,140.0,0.2205775
240.0,140.0,0.1852978
250.0,140.0,0.1560016
230.0,150.0,0.2205775
240.0,150.0,0.1852978
240.0,160.0,0.1852978
250.0,160.0,0.1560016
250.0,170.0,0.1560016

