#: table_doi: 10.17182/hepdata.63216.v1/t91
#: name: Table 91
#: description: Production cross-sections in Fig. 05.

#: data_file: Table91.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],SIG(NLO) [FB]
112.5,12.5,3655.409
112.5,47.5,3655.409
117.5,82.5,3098.925
130.0,30.0,2109.35
132.5,67.5,1953.076
142.5,107.5,1486.539
150.0,50.0,1223.216
155.0,5.0,1062.965
157.5,92.5,1004.36
175.0,25.0,664.5489
175.0,75.0,664.5489
192.5,157.5,456.208
200.0,50.0,391.8129
207.5,142.5,337.3276
225.0,125.0,243.098
250.0,0.0,156.0016
250.0,100.0,156.0016
267.5,232.5,117.4784
282.5,217.5,92.74241
300.0,50.0,70.44034
300.0,200.0,70.44034
325.0,175.0,49.22176
330.0,295.0,45.82213
345.0,280.0,37.55289
350.0,0.0,35.12951
362.5,262.5,29.74812
375.0,125.0,25.65412
387.5,237.5,21.68394
392.5,357.5,20.2964
407.5,342.5,16.95163
425.0,75.0,13.91541
425.0,325.0,13.91541
437.5,187.5,11.74517
450.0,300.0,10.14585
487.5,137.5,6.670763
500.0,0.0,5.767883
500.0,250.0,5.767883
517.5,482.5,4.89282
532.5,467.5,4.250156
550.0,200.0,3.479735
550.0,450.0,3.479735
562.5,62.5,3.056805
575.0,425.0,2.697594
625.0,0.0,1.612058
625.0,125.0,1.612058
625.0,375.0,1.612058
642.5,607.5,1.368325
675.0,325.0,1.027214
675.0,575.0,1.027214
687.5,62.5,0.9287274
700.0,550.0,0.8295168
750.0,0.0,0.5058033
750.0,250.0,0.5058033
750.0,500.0,0.5058033

