#: table_doi: 10.17182/hepdata.63216.v1/t92
#: name: Table 92
#: description: Production cross-sections in Fig. 07a.

#: data_file: Table92.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
"M(CHARGINO1,NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV],SIG(NLO) [FB]
100.0,0.0,11484.23
100.0,50.0,11484.23
150.0,0.0,2452.693
150.0,50.0,2452.693
150.0,100.0,2452.693
200.0,0.0,802.2478
200.0,50.0,802.2478
200.0,100.0,802.2478
200.0,150.0,802.2478
250.0,0.0,323.2688
250.0,50.0,323.2688
250.0,100.0,323.2688
250.0,150.0,323.2688
250.0,200.0,323.2688
300.0,0.0,148.1533
300.0,50.0,148.1533
300.0,100.0,148.1533
300.0,150.0,148.1533
300.0,200.0,148.1533
300.0,250.0,148.1533
350.0,0.0,74.39984
350.0,50.0,74.39984
350.0,100.0,74.39984
350.0,150.0,74.39984
350.0,200.0,74.39984
350.0,250.0,74.39984
350.0,300.0,74.39984
400.0,0.0,39.62259
400.0,50.0,39.62259
400.0,100.0,39.62259
400.0,150.0,39.62259
400.0,200.0,39.62259
400.0,250.0,39.62259
400.0,300.0,39.62259
400.0,350.0,39.62259
450.0,0.0,21.97462
450.0,50.0,21.97462
450.0,100.0,21.97462
450.0,150.0,21.97462
450.0,200.0,21.97462
450.0,250.0,21.97462
450.0,300.0,21.97462
450.0,350.0,21.97462
450.0,400.0,21.97462
500.0,0.0,12.52504
500.0,100.0,12.52504
500.0,200.0,12.52504
500.0,300.0,12.52504
500.0,400.0,12.52504
500.0,450.0,12.52504

