#: table_doi: 10.17182/hepdata.63216.v1/t93
#: name: Table 93
#: description: Production cross-sections in Fig. 08a.

#: data_file: Table93.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],SIG(NLO) [FB]
100.0,19.8,49.3133
100.0,29.8,49.3133
100.0,49.8,49.3133
109.0,0.2,35.8788
118.3,9.8,26.526
118.3,29.8,26.526
118.3,49.8,26.526
127.6,0.2,20.0204
127.6,19.8,20.0204
127.6,39.8,20.0204
127.6,59.8,20.0204
137.1,9.8,15.334
137.1,29.8,15.334
137.1,49.8,15.334
137.1,69.8,15.334
146.6,39.8,11.8237
146.6,59.8,11.8237
146.6,79.8,11.8237
156.2,9.8,9.25922
156.2,29.8,9.25922
156.2,49.8,9.25922
156.2,69.8,9.25922
156.2,89.8,9.25922
165.8,0.2,7.3268
165.8,19.8,7.3268
165.8,39.8,7.3268
165.8,59.8,7.3268
165.8,79.8,7.3268
175.5,9.8,5.85707
175.5,29.8,5.85707
175.5,49.8,5.85707
175.5,69.8,5.85707
175.5,89.8,5.85707
185.2,39.8,4.71759
185.2,59.8,4.71759
185.2,79.8,4.71759
194.9,9.8,3.83714
194.9,29.8,3.83714
194.9,49.8,3.83714
194.9,69.8,3.83714
204.7,0.2,3.13449
204.7,19.8,3.13449
204.7,39.8,3.13449
204.7,59.8,3.13449
214.5,9.8,2.58709
214.5,29.8,2.58709
214.5,49.8,2.58709
224.3,0.2,2.14093
224.3,19.8,2.14093
224.3,39.8,2.14093
234.1,29.8,1.7881
100.0,0.2,49.3133
100.0,39.8,49.3133
103.6,69.8,43.3062
107.2,59.8,38.1711
113.6,79.8,30.752
