#: table_doi: 10.17182/hepdata.63216.v1/t94
#: name: Table 94
#: description: Production cross-sections in Fig. 08b.

#: data_file: Table94.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],SIG(NLO) [FB]
101.4,19.8,127.349
101.4,29.8,127.349
101.4,49.8,127.349
110.4,0.2,92.4926
119.5,9.8,68.4564
119.5,29.8,68.4564
119.5,49.8,68.4564
128.8,0.2,51.5191
128.8,19.8,51.5191
128.8,39.8,51.5191
128.8,59.8,51.5191
138.1,9.8,39.3293
138.1,29.8,39.3293
138.1,49.8,39.3293
138.1,69.8,39.3293
147.6,39.8,30.3436
147.6,59.8,30.3436
147.6,79.8,30.3436
157.1,9.8,23.8444
157.1,29.8,23.8444
157.1,49.8,23.8444
157.1,69.8,23.8444
157.1,89.8,23.8444
166.7,0.2,18.7186
166.7,19.8,18.7186
166.7,39.8,18.7186
166.7,59.8,18.7186
166.7,79.8,18.7186
176.3,9.8,14.9903
176.3,29.8,14.9903
176.3,49.8,14.9903
176.3,69.8,14.9903
176.3,89.8,14.9903
186.0,39.8,12.1262
186.0,59.8,12.1262
186.0,79.8,12.1262
195.7,9.8,9.78193
195.7,29.8,9.78193
195.7,49.8,9.78193
195.7,69.8,9.78193
205.4,0.2,8.02057
205.4,19.8,8.02057
205.4,39.8,8.02057
205.4,59.8,8.02057
215.1,9.8,6.59827
215.1,29.8,6.59827
215.1,49.8,6.59827
224.9,0.2,5.47133
224.9,19.8,5.47133
224.9,39.8,5.47133
234.7,29.8,4.5524
101.4,0.2,127.349
101.4,39.8,127.349
105.0,69.8,112.496
108.6,59.8,98.3174
114.9,79.8,79.3861
118.6,69.8,70.4524
125.1,89.8,57.5759
128.8,79.8,51.5191
136.3,99.8,41.4279
139.1,89.8,38.2701
146.6,109.8,31.1358
149.5,99.8,28.9158
157.1,119.8,23.8444
160.9,109.8,21.7177
164.8,99.8,19.7235
167.6,129.8,18.462
171.5,119.8,16.7812
175.3,109.8,15.4132
178.2,139.8,14.4572
182.1,129.8,13.194
186.0,119.8,12.1262
186.0,159.8,12.1262
189.8,109.8,11.1017
189.8,149.8,11.1017
193.7,99.8,10.2394
193.7,139.8,10.2394
196.6,89.8,9.59957
196.6,129.8,9.59957
196.6,169.8,9.59957
200.5,79.8,8.86404
200.5,119.8,8.86404
200.5,159.8,8.86404
204.4,109.8,8.18532
204.4,149.8,8.18532
207.3,99.8,7.71141
207.3,139.8,7.71141
207.3,179.8,7.71141
211.2,89.8,7.13078
211.2,129.8,7.13078
211.2,169.8,7.13078
215.1,79.8,6.59827
215.1,119.8,6.59827
215.1,159.8,6.59827
219.0,69.8,6.11536
219.0,109.8,6.11536
219.0,149.8,6.11536
219.0,189.8,6.11536
223.0,59.8,5.66698
223.0,99.8,5.66698
223.0,139.8,5.66698
223.0,179.8,5.66698
225.9,49.8,5.36298
225.9,89.8,5.36298
225.9,129.8,5.36298
225.9,169.8,5.36298
229.8,79.8,4.98229
229.8,119.8,4.98229
229.8,159.8,4.98229
229.8,199.8,4.98229
233.7,69.8,4.63404
233.7,109.8,4.63404
233.7,149.8,4.63404
233.7,189.8,4.63404
236.7,19.8,4.38786
236.7,59.8,4.38786
236.7,99.8,4.38786
236.7,139.8,4.38786
240.6,9.8,4.08473
240.6,49.8,4.08473
240.6,89.8,4.08473
240.6,129.8,4.08473
240.6,169.8,4.08473
244.5,0.2,3.81099
244.5,39.8,3.81099
244.5,79.8,3.81099
244.5,119.8,3.81099
244.5,159.8,3.81099
244.5,199.8,3.81099
248.4,29.8,3.5483
248.4,69.8,3.5483
248.4,109.8,3.5483
248.4,149.8,3.5483
248.4,189.8,3.5483
252.4,19.8,3.31967
252.4,59.8,3.31967
252.4,99.8,3.31967
252.4,139.8,3.31967
252.4,179.8,3.31967
255.3,9.8,3.15467
255.3,49.8,3.15467
255.3,89.8,3.15467
255.3,129.8,3.15467
255.3,169.8,3.15467
259.2,0.2,2.9416
259.2,39.8,2.9416
259.2,79.8,2.9416
259.2,119.8,2.9416
259.2,159.8,2.9416
259.2,199.8,2.9416
263.2,29.8,2.76045
263.2,69.8,2.76045
263.2,109.8,2.76045
263.2,149.8,2.76045
263.2,189.8,2.76045
266.1,19.8,2.61668
266.1,59.8,2.61668
266.1,99.8,2.61668
266.1,139.8,2.61668
266.1,179.8,2.61668
270.1,9.8,2.45729
270.1,49.8,2.45729
270.1,89.8,2.45729
270.1,129.8,2.45729
270.1,169.8,2.45729
274.0,0.2,2.30159
274.0,39.8,2.30159
274.0,79.8,2.30159
274.0,119.8,2.30159
274.0,159.8,2.30159
274.0,199.8,2.30159
278.0,29.8,2.14874
278.0,69.8,2.14874
278.0,109.8,2.14874
278.0,149.8,2.14874
278.0,189.8,2.14874
281.9,19.8,2.01902
281.9,59.8,2.01902
281.9,99.8,2.01902
281.9,139.8,2.01902
281.9,179.8,2.01902
284.9,49.8,1.9264
284.9,89.8,1.9264
284.9,129.8,1.9264
284.9,169.8,1.9264
288.8,0.2,1.80676
288.8,39.8,1.80676
288.8,79.8,1.80676
288.8,119.8,1.80676
288.8,159.8,1.80676
288.8,199.8,1.80676
292.8,29.8,1.69422
292.8,69.8,1.69422
292.8,109.8,1.69422
292.8,149.8,1.69422
292.8,189.8,1.69422
295.7,19.8,1.616
295.7,59.8,1.616
295.7,99.8,1.616
295.7,139.8,1.616
295.7,179.8,1.616
299.7,9.8,1.51947
299.7,49.8,1.51947
299.7,89.8,1.51947
299.7,129.8,1.51947
299.7,169.8,1.51947
303.6,0.2,1.43573
303.6,39.8,1.43573
303.6,119.8,1.43573
303.6,159.8,1.43573
240.6,209.8,4.08473
255.3,209.8,3.15467
270.1,209.8,2.45729
284.9,209.8,1.9264
299.7,209.8,1.51947
305.6,74.8,1.38642
305.6,194.8,1.38642
307.6,29.8,1.34216
307.6,149.8,1.34216
309.5,104.8,1.30393
311.5,59.8,1.26747
311.5,179.8,1.26747
312.5,14.8,1.24883
312.5,134.8,1.24883
314.5,89.8,1.21123
314.5,209.8,1.21123
316.5,44.8,1.18082
316.5,164.8,1.18082
318.4,0.2,1.14164
318.4,119.8,1.14164
320.4,74.8,1.10992
320.4,194.8,1.10992
322.4,29.8,1.07729
322.4,149.8,1.07729
324.4,104.8,1.04174
325.4,59.8,1.03485
325.4,179.8,1.03485
327.4,14.8,1.00588
327.4,134.8,1.00588
329.3,89.8,0.977084
329.3,209.8,0.977084
331.3,44.8,0.947185
331.3,164.8,0.947185
333.3,0.2,0.919516
333.3,119.8,0.919516
335.3,74.8,0.893074
335.3,194.8,0.893074
337.3,29.8,0.867832
337.3,149.8,0.867832
339.2,104.8,0.844496
341.2,59.8,0.820137
341.2,179.8,0.820137
342.2,14.8,0.808709
342.2,134.8,0.808709
344.2,89.8,0.78594
346.2,44.8,0.764743
346.2,164.8,0.764743
348.2,0.2,0.743733
348.2,119.8,0.743733
350.1,74.8,0.723694
350.1,194.8,0.723694
352.1,29.8,0.702888
352.1,149.8,0.702888
354.1,104.8,0.683954
355.1,59.8,0.674873
355.1,179.8,0.674873
357.1,14.8,0.656173
357.1,134.8,0.656173
359.1,89.8,0.638339
359.1,209.8,0.638339
361.0,44.8,0.620985
361.0,164.8,0.620985
363.0,0.2,0.604963
363.0,119.8,0.604963
365.0,74.8,0.588276
365.0,194.8,0.588276
367.0,29.8,0.572753
367.0,149.8,0.572753
369.0,104.8,0.55836
371.0,59.8,0.542749
371.0,179.8,0.542749
371.9,14.8,0.535112
371.9,134.8,0.535112

