#: table_doi: 10.17182/hepdata.63216.v1/t95
#: name: Table 95
#: description: Production cross-sections in Fig. 08c.

#: data_file: Table95.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],SIG(NLO) [FB]
100.0,19.8,176.6623
100.0,29.8,176.6623
100.0,49.8,176.6623
109.0,0.2,128.3714
118.3,9.8,94.9824
118.3,29.8,94.9824
118.3,49.8,94.9824
127.6,0.2,71.5395
127.6,19.8,71.5395
127.6,39.8,71.5395
127.6,59.8,71.5395
137.1,9.8,54.6633
137.1,29.8,54.6633
137.1,49.8,54.6633
137.1,69.8,54.6633
146.6,39.8,42.1673
146.6,59.8,42.1673
146.6,79.8,42.1673
156.2,9.8,33.10362
156.2,29.8,33.10362
156.2,49.8,33.10362
156.2,69.8,33.10362
156.2,89.8,33.10362
165.8,0.2,26.0454
165.8,19.8,26.0454
165.8,39.8,26.0454
165.8,59.8,26.0454
165.8,79.8,26.0454
175.5,9.8,20.84737
175.5,29.8,20.84737
175.5,49.8,20.84737
175.5,69.8,20.84737
175.5,89.8,20.84737
185.2,39.8,16.84379
185.2,59.8,16.84379
185.2,79.8,16.84379
194.9,9.8,13.61907
194.9,29.8,13.61907
194.9,49.8,13.61907
194.9,69.8,13.61907
204.7,0.2,11.15506
204.7,19.8,11.15506
204.7,39.8,11.15506
204.7,59.8,11.15506
214.5,9.8,9.18536
214.5,29.8,9.18536
214.5,49.8,9.18536
224.3,0.2,7.61226
224.3,19.8,7.61226
224.3,39.8,7.61226
234.1,29.8,6.3405
100.0,0.2,176.6623
100.0,39.8,176.6623
103.6,69.8,155.8022
107.2,59.8,136.4885
113.6,79.8,110.1381
117.4,69.8,97.7697
123.9,89.8,80.0061
127.6,79.8,71.5395
135.2,99.8,57.5186
138.0,89.8,53.1845
145.6,109.8,43.2156
148.5,99.8,40.182
156.2,119.8,33.10362
160.0,109.8,30.13455
163.9,99.8,27.38899
166.8,129.8,25.62491
170.6,119.8,23.32598
174.5,109.8,21.39762
177.4,139.8,20.06004
181.3,129.8,18.33063
185.2,119.8,16.84379
185.2,159.8,16.84379
189.1,109.8,15.44028
189.1,149.8,15.44028
193.0,99.8,14.22889
193.0,139.8,14.22889
195.9,89.8,13.35467
195.9,129.8,13.35467
195.9,169.8,13.35467
199.8,79.8,12.3291
199.8,119.8,12.3291
199.8,159.8,12.3291
203.7,109.8,11.38609
203.7,149.8,11.38609
206.6,99.8,10.72137
206.6,139.8,10.72137
206.6,179.8,10.72137
210.5,89.8,9.92882
210.5,129.8,9.92882
210.5,169.8,9.92882
214.5,79.8,9.18536
214.5,119.8,9.18536
214.5,159.8,9.18536
218.4,69.8,8.50961
218.4,109.8,8.50961
218.4,149.8,8.50961
218.4,189.8,8.50961
222.3,59.8,7.893641
222.3,99.8,7.893641
222.3,139.8,7.893641
222.3,179.8,7.893641
225.2,49.8,7.45697
225.2,89.8,7.45697
225.2,129.8,7.45697
225.2,169.8,7.45697
229.2,79.8,6.93332
229.2,119.8,6.93332
229.2,159.8,6.93332
229.2,199.8,6.93332
233.1,69.8,6.45605
233.1,109.8,6.45605
233.1,149.8,6.45605
233.1,189.8,6.45605
236.0,19.8,6.10499
236.0,59.8,6.10499
236.0,99.8,6.10499
236.0,139.8,6.10499
240.0,9.8,5.68782
240.0,49.8,5.68782
240.0,89.8,5.68782
240.0,129.8,5.68782
240.0,169.8,5.68782
243.9,0.2,5.30885
243.9,39.8,5.30885
243.9,79.8,5.30885
243.9,119.8,5.30885
243.9,159.8,5.30885
243.9,199.8,5.30885
247.8,29.8,4.94793
247.8,69.8,4.94793
247.8,109.8,4.94793
247.8,149.8,4.94793
247.8,189.8,4.94793
251.8,19.8,4.61832
251.8,59.8,4.61832
251.8,99.8,4.61832
251.8,139.8,4.61832
251.8,179.8,4.61832
254.7,9.8,4.38807
254.7,49.8,4.38807
254.7,89.8,4.38807
254.7,129.8,4.38807
254.7,169.8,4.38807
258.7,0.2,4.09841
258.7,39.8,4.09841
258.7,79.8,4.09841
258.7,119.8,4.09841
258.7,159.8,4.09841
258.7,199.8,4.09841
262.6,29.8,3.84176
262.6,69.8,3.84176
262.6,109.8,3.84176
262.6,149.8,3.84176
262.6,189.8,3.84176
265.6,19.8,3.65426
265.6,59.8,3.65426
265.6,99.8,3.65426
265.6,139.8,3.65426
265.6,179.8,3.65426
269.5,9.8,3.419895
269.5,49.8,3.419895
269.5,89.8,3.419895
269.5,129.8,3.419895
269.5,169.8,3.419895
273.5,0.2,3.204014
273.5,39.8,3.204014
273.5,79.8,3.204014
273.5,119.8,3.204014
273.5,159.8,3.204014
273.5,199.8,3.204014
277.4,29.8,2.994475
277.4,69.8,2.994475
277.4,109.8,2.994475
277.4,149.8,2.994475
277.4,189.8,2.994475
281.4,19.8,2.813185
281.4,59.8,2.813185
281.4,99.8,2.813185
281.4,139.8,2.813185
281.4,179.8,2.813185
284.3,49.8,2.683203
284.3,89.8,2.683203
284.3,129.8,2.683203
284.3,169.8,2.683203
288.3,0.2,2.518485
288.3,39.8,2.518485
288.3,79.8,2.518485
288.3,119.8,2.518485
288.3,159.8,2.518485
288.3,199.8,2.518485
292.3,29.8,2.362501
292.3,69.8,2.362501
292.3,109.8,2.362501
292.3,149.8,2.362501
292.3,189.8,2.362501
295.2,19.8,2.253686
295.2,59.8,2.253686
295.2,99.8,2.253686
295.2,139.8,2.253686
295.2,179.8,2.253686
299.2,9.8,2.118885
299.2,49.8,2.118885
299.2,89.8,2.118885
299.2,129.8,2.118885
299.2,169.8,2.118885
303.1,0.2,2.000731
303.1,39.8,2.000731
303.1,119.8,2.000731
303.1,159.8,2.000731
240.0,209.8,5.68782
254.7,209.8,4.38807
269.5,209.8,3.419895
284.3,209.8,2.683203
299.2,209.8,2.118885
305.1,74.8,1.933786
