#: table_doi: 10.17182/hepdata.63216.v1/t96
#: name: Table 96
#: description: Acceptance IN PCT in Fig. 06a.

#: data_file: Table96.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],Acceptance [PCT]
100.0,0.0,0.752891
100.0,10.0,2.000853
100.0,20.0,0.9976976
110.0,0.0,1.080186
110.0,10.0,2.757231
110.0,20.0,2.379747
110.0,30.0,1.124253
120.0,0.0,1.372121
120.0,10.0,3.543874
120.0,20.0,3.329229
120.0,30.0,2.530881
120.0,40.0,0.4910918
130.0,0.0,1.715241
130.0,10.0,4.362185
130.0,20.0,3.991298
130.0,30.0,3.502374
130.0,40.0,1.181588
130.0,50.0,0.42338
140.0,0.0,2.026164
140.0,10.0,4.929395
140.0,20.0,4.780491
140.0,30.0,4.291649
140.0,40.0,1.45227
140.0,50.0,1.090033
140.0,60.0,0.5974653
150.0,0.0,2.073704
150.0,10.0,5.679335
150.0,20.0,5.476154
150.0,30.0,5.096636
150.0,40.0,2.133217
150.0,50.0,1.643017
150.0,60.0,1.140045
150.0,70.0,0.46431
160.0,0.0,2.492572
160.0,10.0,6.213914
160.0,20.0,5.908755
160.0,30.0,5.723583
160.0,40.0,2.100141
160.0,50.0,1.753494
160.0,60.0,1.877874
160.0,70.0,1.239722
160.0,80.0,0.610998
170.0,0.0,2.789071
170.0,10.0,6.616811
170.0,20.0,6.318613
170.0,30.0,6.235544
170.0,40.0,2.993093
170.0,50.0,2.414101
170.0,60.0,1.988454
170.0,70.0,1.589947
170.0,80.0,1.278905
170.0,90.0,0.6039579
180.0,0.0,2.859461
180.0,10.0,6.939794
180.0,20.0,6.842319
180.0,30.0,6.649209
180.0,40.0,3.27282
180.0,50.0,2.575217
180.0,60.0,2.41761
180.0,70.0,2.319323
180.0,80.0,1.877696
180.0,90.0,1.428207
180.0,100.0,0.5348309
190.0,0.0,3.167355
190.0,10.0,7.197552
190.0,20.0,7.176463
190.0,30.0,7.137008
190.0,40.0,2.901758
190.0,50.0,2.768549
190.0,60.0,2.786302
190.0,70.0,2.611254
190.0,80.0,2.284451
190.0,90.0,1.735729
190.0,100.0,1.421508
190.0,110.0,0.5512004
200.0,0.0,3.214394
200.0,10.0,7.543234
200.0,20.0,7.456704
200.0,30.0,7.520457
200.0,40.0,3.429786
200.0,50.0,3.149965
200.0,60.0,3.001516
200.0,70.0,2.927223
200.0,80.0,2.736949
200.0,90.0,2.53766
200.0,100.0,1.882877
200.0,110.0,1.354493
200.0,120.0,0.4250152
210.0,0.0,3.528705
210.0,10.0,7.700241
210.0,20.0,7.781973
210.0,30.0,7.582699
210.0,40.0,3.466934
210.0,50.0,3.246493
210.0,60.0,3.623624
210.0,70.0,2.964744
210.0,80.0,2.623673
210.0,90.0,2.561537
210.0,100.0,2.163028
210.0,110.0,2.142571
210.0,120.0,1.661329
210.0,130.0,0.4402642
220.0,0.0,3.562397
220.0,10.0,7.972378
220.0,20.0,7.98559
220.0,30.0,7.906851
220.0,40.0,3.94
220.0,50.0,3.522818
220.0,60.0,3.580716
220.0,70.0,3.002402
220.0,80.0,3.06245
220.0,90.0,2.984178
220.0,100.0,2.721633
220.0,110.0,2.763316
220.0,120.0,1.602564
220.0,130.0,1.380552
220.0,140.0,0.4403523
230.0,0.0,3.757798
230.0,10.0,7.983151
230.0,20.0,8.020572
230.0,30.0,8.257872
230.0,40.0,3.70074
230.0,50.0,3.6
230.0,60.0,3.221933
230.0,70.0,3.402722
230.0,80.0,3.30066
230.0,90.0,3.161265
230.0,100.0,2.781669
230.0,110.0,2.941176
230.0,120.0,2.522018
230.0,130.0,2.0004
230.0,140.0,1.46
230.0,150.0,0.7402961
240.0,0.0,3.664569
240.0,10.0,8.343005
240.0,20.0,8.047978
240.0,30.0,8.188603
240.0,40.0,3.5007
240.0,50.0,3.762257
240.0,60.0,3.64
240.0,70.0,3.563564
240.0,80.0,3.364037
240.0,90.0,3.260652
240.0,100.0,2.880576
240.0,110.0,3.402041
240.0,120.0,2.581032
240.0,130.0,2.642114
240.0,140.0,2.140428
240.0,150.0,1.4
240.0,160.0,0.4801921
250.0,0.0,3.985598
250.0,10.0,8.445837
250.0,20.0,8.445689
250.0,30.0,8.285734
250.0,40.0,3.641457
250.0,50.0,3.772452
250.0,60.0,3.841537
250.0,70.0,3.301321
250.0,80.0,3.441377
250.0,90.0,3.42
250.0,100.0,3.366852
250.0,110.0,3.461385
250.0,120.0,3.081232
250.0,130.0,3.120624
250.0,140.0,2.60052
250.0,150.0,2.005401
250.0,160.0,1.175
250.0,170.0,0.540108

