#: table_doi: 10.17182/hepdata.63216.v1/t97
#: name: Table 97
#: description: Acceptance IN PCT in Fig. 05.

#: data_file: Table97.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(CHARGINO1) [GEV],M(NEUTRALINO1) [GEV],Acceptance [PCT]
112.5,12.5,0.0
130.0,30.0,0.0
155.0,5.0,0.075429
150.0,50.0,0.0
175.0,25.0,0.2708891
175.0,75.0,0.0
200.0,50.0,0.3767383
250.0,0.0,4.633427
225.0,125.0,0.0
250.0,100.0,0.595119
300.0,50.0,6.185773
350.0,0.0,9.35617
300.0,200.0,0.002500375
325.0,175.0,0.9476421
375.0,125.0,7.550189
425.0,75.0,10.93832
500.0,0.0,13.55
425.0,325.0,0.005000375
450.0,300.0,1.357534
500.0,250.0,8.092905
117.5,82.5,0.0
142.5,107.5,0.0
192.5,157.5,0.0
267.5,232.5,0.0
392.5,357.5,0.0
550.0,200.0,11.62435
625.0,125.0,14.67287
750.0,0.0,16.49624
517.5,482.5,0.0
550.0,450.0,0.002500063
575.0,425.0,1.517538
625.0,375.0,8.4725
675.0,325.0,12.0506
750.0,250.0,15.15788
642.5,607.5,0.0
675.0,575.0,0.0075
700.0,550.0,1.54
750.0,500.0,8.49
330.0,295.0,0.0
112.5,47.5,0.0
132.5,67.5,0.0
157.5,92.5,0.0
207.5,142.5,0.0
282.5,217.5,0.0
345.0,280.0,0.0
407.5,342.5,0.0
532.5,467.5,0.0
362.5,262.5,0.0
387.5,237.5,1.147586
437.5,187.5,7.872894
487.5,137.5,11.59558
562.5,62.5,14.14285
625.0,0.0,15.28076
687.5,62.5,15.39538

