#: table_doi: 10.17182/hepdata.63216.v1/t98
#: name: Table 98
#: description: Acceptance IN PCT in Fig. 07a.

#: data_file: Table98.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
"M(CHARGINO1,NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV],Acceptance [PCT]
150.0,0.0,0.105
200.0,0.0,1.025
200.0,50.0,0.665
200.0,100.0,0.04
250.0,0.0,2.71
250.0,50.0,2.265
250.0,100.0,1.155
250.0,150.0,0.03
300.0,0.0,4.745
300.0,50.0,4.49
300.0,100.0,3.2
300.0,150.0,1.34
300.0,200.0,0.02
350.0,0.0,7.65
350.0,50.0,7.1
350.0,100.0,5.755
350.0,150.0,4.020201
350.0,200.0,1.625
350.0,250.0,0.05
400.0,0.0,9.935
400.0,50.0,9.580479
400.0,100.0,8.325
400.0,150.0,7.27
400.0,200.0,4.48
400.0,250.0,1.86
400.0,300.0,0.05
450.0,0.0,11.21
450.0,50.0,11.34
450.0,100.0,10.765
450.0,150.0,9.79
450.0,200.0,7.840392
450.0,250.0,5.115256
450.0,300.0,1.89
450.0,350.0,0.045
500.0,0.0,12.695
500.0,100.0,12.63
500.0,200.0,10.26
500.0,300.0,4.864322
500.0,400.0,0.06

