#: table_doi: 10.17182/hepdata.63216.v1/t99
#: name: Table 99
#: description: Acceptance IN PCT in Fig. 08a.

#: data_file: Table99.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Acceptance [PCT]
100.0,19.8,0.0
100.0,29.8,0.0
100.0,29.8,0.0
100.0,49.8,0.0
104.5,14.8,0.0
104.5,24.8,0.0
104.5,34.8,0.0
104.5,44.8,0.0
104.5,54.8,0.0
109.0,0.2,0.0
109.0,19.8,0.0
109.0,29.8,0.0
109.0,39.8,0.0
109.0,49.8,0.0
109.0,59.8,0.0
113.6,24.8,0.0
113.6,34.8,0.0
113.6,44.8,0.0
113.6,54.8,0.0
113.6,64.8,0.0
118.3,9.8,0.0
118.3,29.8,0.0
118.3,39.8,0.0
118.3,49.8,0.0
118.3,59.8,0.0
118.3,69.8,0.0
122.9,34.8,0.0
122.9,44.8,0.0
122.9,54.8,0.0
122.9,64.8,0.0
122.9,74.8,0.0
127.6,0.2,1.271754
127.6,19.8,0.462963
127.6,39.8,0.0
127.6,49.8,0.0
127.6,59.8,0.0
127.6,69.8,0.0
127.6,69.8,0.0
132.3,44.8,0.0
132.3,54.8,0.0
132.3,64.8,0.0
132.3,74.8,0.0
132.3,84.8,0.0
137.1,9.8,2.479893
137.1,29.8,1.357773
137.1,49.8,0.0
137.1,59.8,0.0
137.1,69.8,0.0
137.1,79.8,0.0
137.1,89.8,0.0
141.8,54.8,0.06734007
141.8,54.8,0.0
141.8,74.8,0.0
141.8,84.8,0.0
146.6,0.2,4.412763
146.6,19.8,4.60358
146.6,39.8,2.464332
146.6,59.8,0.1348618
146.6,69.8,0.0
146.6,79.8,0.0
146.6,89.8,0.0
151.4,54.8,1.343183
151.4,64.8,0.3916449
151.4,74.8,0.0
151.4,84.8,0.0
156.2,9.8,7.275132
156.2,29.8,6.25
156.2,49.8,3.726287
156.2,69.8,0.6081081
156.2,79.8,0.0
156.2,89.8,0.0
161.0,74.8,0.8026756
161.0,84.8,0.0
165.8,0.2,8.075371
165.8,19.8,9.042553
165.8,39.8,6.395852
165.8,59.8,4.788341
165.8,69.8,2.479339
165.8,79.8,0.7387508
165.8,89.8,0.0
170.6,64.8,4.745763
170.6,74.8,3.185595
170.6,84.8,1.328904
175.5,9.8,11.08884
175.5,29.8,9.719504
175.5,49.8,8.461026
175.5,59.8,6.696716
175.5,69.8,4.417671
175.5,79.8,2.918288
175.5,89.8,1.778386
180.3,54.8,8.06345
180.3,64.8,7.133333
180.3,74.8,5.495251
180.3,84.8,3.088538
185.2,0.2,13.21555
185.2,19.8,11.33467
185.2,39.8,11.79661
185.2,49.8,7.501674
185.2,59.8,8.446866
185.2,69.8,9.447771
185.2,79.8,5.470914
185.2,89.8,3.116711
190.0,44.8,10.53498
190.0,54.8,10.59818
190.0,64.8,8.641975
190.0,74.8,8.293999
190.0,84.8,5.917159
194.9,9.8,13.60737
194.9,29.8,12.04405
194.9,39.8,12.7907
194.9,49.8,12.59731
194.9,59.8,12.02114
194.9,69.8,9.121395
194.9,79.8,8.203125
199.8,34.8,13.74309
199.8,44.8,12.55814
199.8,54.8,14.10343
199.8,64.8,9.848982
199.8,74.8,9.960681
204.7,0.2,15.12195
204.7,19.8,14.44522
204.7,29.8,13.69295
204.7,39.8,14.43228
204.7,49.8,14.64238
204.7,59.8,13.39343
204.7,69.8,12.70527
209.6,24.8,15.44484
209.6,34.8,16.86508
209.6,44.8,16.08812
209.6,54.8,12.90743
209.6,64.8,13.44759
214.5,9.8,17.10526
214.5,19.8,16.23109
214.5,29.8,16.33858
214.5,39.8,17.34694
