#: table_doi: 10.17182/hepdata.89413.v1/t40
#: name: Background fit 10
#: description: Observed events and predicted background yields from the fit in the binned SF SRs with $n_{non-b-tagged jets}=1$. For backgrounds whose normalisation is extracted from the fit in the CRs, the yield expected from the simulation before the fit is also reported. The background denoted as "Other" in the Table includes the non-dominant background sources for this analysis, i.e. Z+jets, $t\bar t$ +V, Higgs and Drell-Yan events. A "–" symbol indicates that the background contribution is negligible.
#: data_file: Tab_13_fit_SR_SF_1J_binned.yaml
#: data_license:   
#: keyword reactions: pp --> CHARGINO1 CHARGINO1 | pp --> SLEPTON SLEPTON | CHARGINO1 --> W NEUTRALINO1 | CHARGINO1 --> SLEPTON NU | CHARGINO1 -->SNU LEPTON | SLEPTON --> LEPTON NEUTRALINO1
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000
#: .,$[100,105]$
Bkg fit results binned SF 1J SRs,.,stat+syst +,stat+syst -
Observed events,12,0,0
Fitted backgrounds,17,4,-4
Fitted $WW$,5.5,1.1,-1.1
Fitted $WZ$,0.85,0.21,-0.21
Fitted $ZZ$,1.13,0.26,-0.26
Fitted $t\bar{t}$,6.7,3.3,-3.3
Fitted single top,1.1,0.7,-0.7
Other backgrounds,0.7,0.5,-0.5
Fake and non-prompt leptons,1.31,0.18,-0.18
Simulated $WW$,4.4,0,0
Simulated $WZ$,0.72,0,0
Simulated $ZZ$,0.95,0.21,-0.21
Simulated $t\bar{t}$,8.1,0,0
Simulated single top,1.3,0,0

#: $\sqrt{s}$ [GeV],13000
#: .,$[105,110]$
Bkg fit results binned SF 1J SRs,.,stat+syst +,stat+syst -
Observed events,13,0,0
Fitted backgrounds,13.7,2.5,-2.5
Fitted $WW$,4.9,0.9,-0.9
Fitted $WZ$,1.05,0.26,-0.26
Fitted $ZZ$,1.3,0.4,-0.4
Fitted $t\bar{t}$,3.6,1.8,-1.8
Fitted single top,0.9,0.6,-0.6
Other backgrounds,0.47,0.32,-0.32
Fake and non-prompt leptons,1.39,0.21,-0.21
Simulated $WW$,3.9,0,0
Simulated $WZ$,0.89,0,0
Simulated $ZZ$,1.1,0,0
Simulated $t\bar{t}$,4.4,0,0
Simulated single top,1.1,0,0

#: $\sqrt{s}$ [GeV],13000
#: .,$[110,120]$
Bkg fit results binned SF 1J SRs,.,stat+syst +,stat+syst -
Observed events,30,0,0
Fitted backgrounds,17,4,-4
Fitted $WW$,7.7,1.3,-1.3
Fitted $WZ$,1.71,0.27,-0.27
Fitted $ZZ$,2.4,0.4,-0.4
Fitted $t\bar{t}$,3.9,2.1,-2.1
Fitted single top,0.6,0.5,-0.5
Other backgrounds,0.5,2.4,-0.5
Fake and non-prompt leptons,0.41,0.25,-0.25
Simulated $WW$,6.1,0,0
Simulated $WZ$,1.44,0,0
Simulated $ZZ$,2.0,0,0
Simulated $t\bar{t}$,4.8,0,0
Simulated single top,0.8,0,0

#: $\sqrt{s}$ [GeV],13000
#: .,$[120,140]$
