#: table_doi: 10.17182/hepdata.89413.v1/t13
#: name: Background fit 3
#: description: Observed events and predicted post-fit background yields for the SF inclusive SRs. The model independent upper limits at 95% confidence level (CL) on the observed and expected number of beyond the SM events $S^{0.95}_{obs/exp}$ and the effective beyond the SM cross-section $\sigma^{0.95}_{obs}$ are also reported. The last row reports the $p_0$-value of the SM-only hypothesis. For SRs where the data yield is smaller than expected, the $p$-value is truncated at 0.50. The background denoted as "Other" in the Table includes the non-dominant background sources for this analysis, i.e. Z+jets, $t\bar t$+V, Higgs and Drell-Yan events. A "–" symbol indicates that the background contribution is negligible.
#: data_file: Tab_8a_fit_SRs_SF_inc.yaml
#: data_license:   
#: keyword reactions: pp --> CHARGINO1 CHARGINO1 | pp --> SLEPTON SLEPTON | CHARGINO1 --> W NEUTRALINO1 | CHARGINO1 --> SLEPTON NU | CHARGINO1 -->SNU LEPTON | SLEPTON --> LEPTON NEUTRALINO1
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000
#: .,SR-SF-0J
Bkg fit res SRs,.,stat+syst +,stat+syst -
$m_{T2}$ [GeV],"[100,inf)",0,0
Observed events,147,0,0
Fitted backgrounds,144,12,-12
Fitted $WW$,73,8,-8
Fitted $WZ$,10.8,0.8,-0.8
Fitted $ZZ$,38.6,2.6,-2.6
Fitted $t\bar{t}$,13,4,-4
Fitted single top,2.4,1.4,-1.4
Other backgrounds,2.1,1.5,-1.5
Fake and non-prompt leptons,5.4,1.4,-1.4
$S^{0.95}_{\mbox{obs}}$,35.5,0,0
$S^{0.95}_{\mbox{exp}}$,33.6,13.6,-9.3
${\mathrm \sigma}^{0.95}_{\mbox{obs}}$ [fb],0.25,0,0
$p_0$,0.44,0,0

#: $\sqrt{s}$ [GeV],13000
#: .,SR-SF-0J
Bkg fit res SRs,.,stat+syst +,stat+syst -
$m_{T2}$ [GeV],"[160,inf)",0,0
Observed events,37,0,0
Fitted backgrounds,37.3,3.0,-3.0
Fitted $WW$,18.1,2.1,-2.1
Fitted $WZ$,3.08,0.27,-0.27
Fitted $ZZ$,13.8,1.0,-1.0
Fitted $t\bar{t}$,--,0,0
Fitted single top,--,0,0
Other backgrounds,0.10,0.33,-0.1
Fake and non-prompt leptons,2.2,0.4,-0.4
$S^{0.95}_{\mbox{obs}}$,14.3,0,0
$S^{0.95}_{\mbox{exp}}$,14.5,6.3,-4.2
${\mathrm \sigma}^{0.95}_{\mbox{obs}}$ [fb],0.10,0,0
$p_0$,0.50,0,0

#: $\sqrt{s}$ [GeV],13000
#: .,SR-SF-0J
Bkg fit res SRs,.,stat+syst +,stat+syst -
$m_{T2}$ [GeV],"[100,120)",0,0
Observed events,53,0,0
Fitted backgrounds,56,6,-6
Fitted $WW$,27.6,3.0,-3.0
Fitted $WZ$,3.55,0.29,-0.29
Fitted $ZZ$,11.1,0.8,-0.8
Fitted $t\bar{t}$,11,4,-4
Fitted single top,2.2,1.3,-1.3
Other backgrounds,0.2,1.4,-0.2
Fake and non-prompt leptons,1.1,0.6,-0.6
$S^{0.95}_{\mbox{obs}}$,17.8,0,0
$S^{0.95}_{\mbox{exp}}$,20.0,8.1,-5.6
${\mathrm \sigma}^{0.95}_{\mbox{obs}}$ [fb],0.13,0,0
$p_0$,0.50,0,0

#: $\sqrt{s}$ [GeV],13000
#: .,SR-SF-0J
Bkg fit res SRs,.,stat+syst +,stat+syst -
$m_{T2}$ [GeV],"[120,160)",0,0
Observed events,57,0,0
Fitted backgrounds,51,5,-5
Fitted $WW$,27,4,-4
Fitted $WZ$,4.2,0.5,-0.5
Fitted $ZZ$,13.7,1.5,-1.5
Fitted $t\bar{t}$,1.9,0.7,-0.7
Fitted single top,0.15,0.09,-0.09
Other backgrounds,1.76,0.3,-0.3
Fake and non-prompt leptons,2.0,0.5,-0.5
$S^{0.95}_{\mbox{obs}}$,23.5,0,0
$S^{0.95}_{\mbox{exp}}$,18.7,7.8,-5.3
${\mathrm \sigma}^{0.95}_{\mbox{obs}}$ [fb],0.17,0,0
$p_0$,0.25,0,0

