#: table_doi: 10.17182/hepdata.89413.v1/t12
#: name: Background fit 6
#: description: Observed events and predicted post-fit background yields for the DF inclusive SRs. The model independent upper limits at 95% confidence level (CL) on the observed and expected number of beyond the SM events $S^{0.95}_{obs/exp}$ and the effective beyond the SM cross-section $\sigma^{0.95}_{obs}$ are also reported. The last row reports the $p_0$-value of the SM-only hypothesis. For SRs where the data yield is smaller than expected, the $p$-value is truncated at 0.50. The background denoted as "Other" in the Table includes the non-dominant background sources for this analysis, i.e. Z+jets, $t\bar t$+V, Higgs and Drell-Yan events. A "–" symbol indicates that the background contribution is negligible.
#: data_file: Tab_9b_fit_SRs_DF_inc.yaml
#: data_license:   
#: keyword reactions: pp --> CHARGINO1 CHARGINO1 | pp --> SLEPTON SLEPTON | CHARGINO1 --> W NEUTRALINO1 | CHARGINO1 --> SLEPTON NU | CHARGINO1 -->SNU LEPTON | SLEPTON --> LEPTON NEUTRALINO1
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000
#: .,SR-DF-1J
Bkg fit res SRs,.,stat+syst +,stat+syst -
$m_{T2}$ [GeV],"[100,inf)",0,0
Observed events,75,0,0
Fitted backgrounds,75,9,-9
Fitted $WW$,48,8,-8
Fitted $WZ$,1.54,0.21,-0.21
Fitted $ZZ$,0.08,0.01,-0.01
Fitted $t\bar{t}$,20,7,-7
Fitted single top,2.8,1.4,-1.4
Other backgrounds,0.80,0.13,-0.13
Fake and non-prompt leptons,2.2,0.6,-0.6
$S^{0.95}_{\mbox{obs}}$,25.1,0,0
$S^{0.95}_{\mbox{exp}}$,25.3,10.3,-7.2
${\mathrm \sigma}^{0.95}_{\mbox{obs}}$ [fb],0.18,0,0
$p_0$,0.50,0,0

#: $\sqrt{s}$ [GeV],13000
#: .,SR-DF-1J
Bkg fit res SRs,.,stat+syst +,stat+syst -
$m_{T2}$ [GeV],"[160,inf)",0,0
Observed events,15,0,0
Fitted backgrounds,15.1,2.7,-2.7
Fitted $WW$,13.4,2.6,-2.6
Fitted $WZ$,0.53,0.12,-0.12
Fitted $ZZ$,0.07,0.24,-0.07
Fitted $t\bar{t}$,0.09,0.03,-0.03
Fitted single top,--,0,0
Other backgrounds,0.25,0.05,-0.05
Fake and non-prompt leptons,0.71,0.16,-0.16
$S^{0.95}_{\mbox{obs}}$,10.2,0,0
$S^{0.95}_{\mbox{exp}}$,10.3,4.6,-3.0
${\mathrm \sigma}^{0.95}_{\mbox{obs}}$ [fb],0.07,0,0
$p_0$,0.50,0,0

#: $\sqrt{s}$ [GeV],13000
#: .,SR-DF-1J
Bkg fit res SRs,.,stat+syst +,stat+syst -
$m_{T2}$ [GeV],"[100,120)",0,0
Observed events,38,0,0
Fitted backgrounds,39,6,-6
Fitted $WW$,17.7,2.6,-2.6
Fitted $WZ$,0.43,0.09,-0.09
Fitted $ZZ$,<0.04,0,0
Fitted $t\bar{t}$,17,6,-6
Fitted single top,2.6,1.3,-1.3
Other backgrounds,0.19,0.1,-0.1
Fake and non-prompt leptons,0.87,0.29,-0.29
$S^{0.95}_{\mbox{obs}}$,16.8,0,0
$S^{0.95}_{\mbox{exp}}$,17.6,7.3,-5.1
${\mathrm \sigma}^{0.95}_{\mbox{obs}}$ [fb],0.12,0,0
$p_0$,0.50,0,0

#: $\sqrt{s}$ [GeV],13000
#: .,SR-DF-1J
Bkg fit res SRs,.,stat+syst +,stat+syst -
$m_{T2}$ [GeV],"[120,160)",0,0
Observed events,22,0,0
Fitted backgrounds,21.3,2.8,-2.8
Fitted $WW$,17.1,2.8,-2.8
Fitted $WZ$,0.59,0.11,-0.11
Fitted $ZZ$,0.01,0.0,-0.0
Fitted $t\bar{t}$,2.4,0.9,-0.9
Fitted single top,0.21,0.13,-0.13
Other backgrounds,0.34,0.04,-0.04
Fake and non-prompt leptons,0.59,0.16,-0.16
$S^{0.95}_{\mbox{obs}}$,12.3,0,0
$S^{0.95}_{\mbox{exp}}$,11.9,5.2,-3.3
${\mathrm \sigma}^{0.95}_{\mbox{obs}}$ [fb],0.09,0,0
$p_0$,0.45,0,0

