#: table_doi: 10.17182/hepdata.89413.v1/t34
#: name: Exclusion contour (exp) 10
#: description: Expected exclusion limits on SUSY simplified models for left-handed smuon-pair production. All limits are computed at 95% CL.
#: data_file: Fig_10_EXP_DirSlep_MM_LH.yaml
#: data_license:   
#: keyword reactions: pp --> SLEPTON SLEPTON | SLEPTON --> LEPTON NEUTRALINO1 | pp --> SMUON SMUON | SMUON --> MUON NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
m($\tilde{l}$) [GeV],m($\tilde{\chi}_{1}^{0}$) [GeV]
113.5701,17.30743
115.088,18.31103
131.3954,28.04777
137.8699,33.61486
147.7029,45.53665
150.8453,49.92229
160.4973,66.22971
164.0103,72.97005
167.1698,82.53714
169.3205,98.84457
175.7882,115.152
180.3177,118.3819
196.6251,123.7024
211.0381,131.4594
212.9326,134.0299
219.8772,147.7669
227.1062,164.0743
229.24,165.8384
245.5474,172.8421
261.8549,177.6108
267.4138,180.3817
278.1623,188.8347
286.0906,196.6891
294.4697,205.3618
309.4648,212.9966
310.7771,213.5969
327.0846,221.397
340.6675,229.304
343.392,231.7707
359.6994,243.2296
363.9339,245.6114
376.0069,255.5845
388.8788,261.9189
392.3143,263.4518
408.6217,265.0774
424.9291,262.5855
427.8525,261.9189
441.2366,256.5774
457.3993,245.6114
457.544,245.4429
470.8267,229.304
473.8514,223.9685
480.3576,212.9966
490.1194,196.6891
490.1589,196.6313
500.911,180.3817
506.4663,168.942
508.7506,164.0743
514.2731,147.7669
518.038,131.4594
520.7898,115.152
522.7737,101.529
523.1847,98.84457
525.3635,82.53714
526.8309,66.22971
527.6178,49.92229
527.891,33.61486
528.0075,17.30743
528.8105,1

