#: table_doi: 10.17182/hepdata.89413.v1/t42
#: name: Exclusion contour (exp) 4
#: description: Expected exclusion limits on SUSY simplified models for left-handed slepton-pair production. All limits are computed at 95% CL.
#: data_file: Fig_8_EXP_DirSlep_LH.yaml
#: data_license:   
#: keyword reactions: pp --> SLEPTON SLEPTON | SLEPTON --> LEPTON NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
m($\tilde{l}$) [GeV],m($\tilde{\chi}_{1}^{0}$) [GeV]
115.088,26.80717
131.3954,31.45681
136.044,33.61486
147.7029,41.1627
155.783,49.92229
162.611,66.22971
164.0103,76.87806
164.814,82.53714
168.3757,98.84457
180.3177,111.9385
182.7066,115.152
196.6251,128.3757
202.119,131.4594
212.9326,136.8025
222.5387,147.7669
229.24,162.1985
230.529,164.0743
245.5474,176.2007
253.0161,180.3817
261.8549,186.2951
269.8489,196.6891
276.6225,212.9966
278.1623,215.5094
294.4697,226.1525
303.217,229.304
310.7771,232.216
327.0846,244.6579
328.1232,245.6114
343.392,259.7891
347.3874,261.9189
359.6994,267.2383
376.0069,276.6436
378.3105,278.2263
392.3143,292.2272
395.53,294.5337
408.6217,302.8681
424.9291,309.7183
427.135,310.8411
441.2366,318.901
457.1995,327.1486
457.544,327.3959
473.8514,332.3277
490.1589,336.3472
506.4663,338.942
522.7737,334.9714
538.2263,327.1486
539.0811,326.4708
554.1304,310.8411
555.3886,309.2366
568.9194,294.5337
571.696,291.474
581.9653,278.2263
588.0034,267.9894
591.405,261.9189
598.2229,245.6114
602.9266,229.304
604.3109,222.2925
606.326,212.9966
609.7559,196.6891
614.2133,180.3817
617.3663,164.0743
619.6372,147.7669
620.6183,138.066
621.2965,131.4594
622.4243,115.152
622.9207,98.84457
622.7135,82.53714
622.0412,66.22971
621.1297,49.92229
620.6183,40.79203
620.2353,33.61486
619.7765,17.30743
620.6183,1.536526
620.6486,1

