#: table_doi: 10.17182/hepdata.89413.v1/t26
#: name: Exclusion contour (exp) 6
#: description: Expected exclusion limits on SUSY simplified models for selectron-pair production, with left and right handed selectron production combined. All limits are computed at 95% CL.
#: data_file: Fig_9_EXP_DirSlep_EE.yaml
#: data_license:   
#: keyword reactions: pp --> SLEPTON SLEPTON | SLEPTON --> LEPTON NEUTRALINO1 | pp --> SELECTRON SELECTRON | SELECTRON --> E NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
m($\tilde{l}$) [GeV],m($\tilde{\chi}_{1}^{0}$) [GeV]
104.2962,17.30743
115.088,24.84918
127.6182,33.61486
131.3954,39.07194
140.7164,49.92229
147.7029,59.05176
152.3844,66.22971
161.9227,82.53714
164.0103,92.3763
165.0807,98.84457
168.8042,115.152
180.3177,123.0704
196.6251,128.2089
204.0716,131.4594
212.9326,135.4501
223.2505,147.7669
229.24,161.4003
231.0533,164.0743
245.5474,175.3712
257.2036,180.3817
261.8549,182.7184
276.9345,196.6891
278.1623,198.8501
291.8234,212.9966
294.4697,214.6865
310.7771,221.3523
325.0219,229.304
327.0846,230.9989
342.1618,245.6114
343.392,246.8323
359.6994,254.9033
376.0069,261.4508
376.9267,261.9189
392.3143,270.7115
406.8139,278.2263
408.6217,279.5815
424.9291,285.5551
441.2366,294.2181
442.2585,294.5337
457.544,297.9097
468.9374,294.5337
473.8514,291.499
490.1589,279.6763
491.9084,278.2263
506.4663,263.1705
507.5422,261.9189
519.5746,245.6114
522.7737,240.4153
528.825,229.304
535.295,212.9966
539.0811,201.0886
540.5533,196.6891
547.5252,180.3817
553.4276,164.0743
555.3886,156.8621
558.0839,147.7669
561.3927,131.4594
563.4301,115.152
564.5682,98.84457
565.3989,82.53714
565.4956,66.22971
564.9783,49.92229
564.1446,33.61486
563.4958,17.30743
563.9556,1

