#: table_doi: 10.17182/hepdata.89413.v1/t28
#: name: Exclusion contour (exp) 7
#: description: Expected exclusion limits on SUSY simplified models for left-handed selectron-pair production. All limits are computed at 95% CL.
#: data_file: Fig_9_EXP_DirSlep_EE_LH.yaml
#: data_license:   
#: keyword reactions: pp --> SLEPTON SLEPTON | SLEPTON --> LEPTON NEUTRALINO1 | pp --> SELECTRON SELECTRON | SELECTRON --> E NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
m($\tilde{l}$) [GeV],m($\tilde{\chi}_{1}^{0}$) [GeV]
113.7443,17.30743
115.088,18.32912
131.3954,30.6427
134.4449,33.61486
146.7811,49.92229
147.7029,51.11284
157.0908,66.22971
164.0103,78.81142
165.2713,82.53714
167.3374,98.84457
170.9696,115.152
180.3177,122.2314
196.6251,127.79
206.4282,131.4594
212.9326,133.9343
226.4336,147.7669
229.24,153.6815
237.0474,164.0743
245.5474,170.7204
261.8549,178.202
265.6502,180.3817
278.1623,190.8679
284.6658,196.6891
294.4697,205.5611
310.7771,212.5558
311.9526,212.9966
327.0846,219.5481
343.392,229.2555
343.4972,229.304
359.6994,241.4575
367.2098,245.6114
376.0069,251.6083
392.3143,258.4012
408.6217,258.8738
424.9291,252.8034
436.1612,245.6114
441.2366,241.3109
457.544,229.875
458.4783,229.304
473.8514,217.6248
479.55,212.9966
490.1589,202.4338
494.2957,196.6891
499.3072,180.3817
502.7088,164.0743
505.1562,147.7669
506.4663,131.578
506.4764,131.4594
506.654,115.152
506.6064,98.84457
509.8751,82.53714
512.1991,66.22971
513.412,49.92229
513.8202,33.61486
513.8724,17.30743
514.6213,1

