#: table_doi: 10.17182/hepdata.89413.v1/t32
#: name: Exclusion contour (exp) 9
#: description: Expected exclusion limits on SUSY simplified models for smuon-pair production, with left and right handed smuon production combined. All limits are computed at 95% CL.
#: data_file: Fig_10_EXP_DirSlep_MM.yaml
#: data_license:   
#: keyword reactions: pp --> SLEPTON SLEPTON | SLEPTON --> LEPTON NEUTRALINO1 | pp --> SMUON SMUON | SMUON --> MUON NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
m($\tilde{l}$) [GeV],m($\tilde{\chi}_{1}^{0}$) [GeV]
105.6045,17.30743
115.088,23.26665
131.3954,32.79668
132.5816,33.61486
147.7029,48.90058
148.5731,49.92229
159.6116,66.22971
164.0103,74.19016
166.9165,82.53714
168.9692,98.84457
173.8778,115.152
180.3177,120.4124
196.6251,125.5787
206.9517,131.4594
212.9326,139.5715
217.1468,147.7669
223.4969,164.0743
229.24,168.3945
245.5474,174.0964
261.8549,179.7589
262.8686,180.3817
278.1219,196.6891
278.1623,196.7829
289.1659,212.9966
294.4697,217.3839
310.7771,224.9528
318.8323,229.304
327.0846,236.1868
338.795,245.6114
343.392,253.0664
351.9034,261.9189
359.6994,271.922
370.7954,278.2263
376.0069,280.4271
392.3143,283.6463
408.6217,285.3909
424.9291,287.8899
441.2366,294.4593
441.4642,294.5337
457.544,299.4046
473.8514,298.8939
490.1589,295.89
493.4022,294.5337
506.4663,285.988
514.0336,278.2263
522.7737,268.2755
527.9613,261.9189
539.0811,246.8267
539.9353,245.6114
549.8964,229.304
555.3886,218.9442
558.0403,212.9966
563.3794,196.6891
566.398,180.3817
569.0535,164.0743
571.2725,147.7669
571.696,143.8133
573.0125,131.4594
574.2212,115.152
574.8539,98.84457
574.9571,82.53714
574.5581,66.22971
573.6935,49.92229
572.4764,33.61486
571.696,22.07294
571.398,17.30743
571.6855,1

