#: table_doi: 10.17182/hepdata.89413.v1/t33
#: name: Exclusion contour (obs) 10
#: description: Observed exclusion limits on SUSY simplified models for left-handed smuon-pair production. All limits are computed at 95% CL.
#: data_file: Fig_10_OBS_DirSlep_MM_LH.yaml
#: data_license:   
#: keyword reactions: pp --> SLEPTON SLEPTON | SLEPTON --> LEPTON NEUTRALINO1 | pp --> SMUON SMUON | SMUON --> MUON NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
m($\tilde{l}$) [GeV],m($\tilde{\chi}_{1}^{0}$) [GeV]
109.7115,17.30743
115.088,20.76067
131.3954,31.69616
133.6315,33.61486
146.034,49.92229
147.7029,52.67163
155.221,66.22971
163.2041,82.53714
164.0103,86.41762
166.0798,98.84457
172.0089,115.152
180.3177,120.4094
196.6251,124.3492
210.0154,131.4594
212.9326,135.3606
219.2218,147.7669
225.7109,164.0743
229.24,167.1038
245.5474,173.6594
261.8549,178.0862
267.0277,180.3817
278.1623,187.8317
289.0792,196.6891
294.4697,201.627
310.7771,210.639
315.021,212.9966
327.0846,219.9127
342.1674,229.304
343.392,230.3306
359.6994,241.5254
365.9611,245.6114
376.0069,255.3891
386.3079,261.9189
392.3143,265.3584
408.6217,270.2187
424.9291,274.2303
436.4958,278.2263
441.2366,280.1367
457.544,286.2102
473.8514,288.7291
490.1589,291.2299
506.4663,287.5861
515.6901,278.2263
522.7737,268.3411
526.6342,261.9189
534.0023,245.6114
539.0811,231.2184
539.7253,229.304
544.586,212.9966
548.9128,196.6891
551.8528,180.3817
554.613,164.0743
555.3886,159.0784
557.1228,147.7669
559.2729,131.4594
560.9569,115.152
562.1167,98.84457
562.7776,82.53714
562.857,66.22971
562.4506,49.92229
561.6681,33.61486
560.7234,17.30743
560.5968,1

