#: table_doi: 10.17182/hepdata.89413.v1/t41
#: name: Exclusion contour (obs) 4
#: description: Observed exclusion limits on SUSY simplified models for left-handed slepton-pair production. All limits are computed at 95% CL.
#: data_file: Fig_8_OBS_DirSlep_LH.yaml
#: data_license:   
#: keyword reactions: pp --> SLEPTON SLEPTON | SLEPTON --> LEPTON NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
m($\tilde{l}$) [GeV],m($\tilde{\chi}_{1}^{0}$) [GeV]
115.088,26.05945
131.3954,31.16185
136.2616,33.61486
147.7029,42.0785
154.3326,49.92229
160.2021,66.22971
160.3929,82.53714
162.1723,98.84457
164.0103,101.4444
177.012,115.152
180.3177,117.5667
196.6251,130.9714
197.5318,131.4594
212.9326,138.5087
221.2626,147.7669
228.8816,164.0743
229.24,164.7533
245.5474,177.9305
249.9838,180.3817
261.8549,188.1947
268.8183,196.6891
276.0721,212.9966
278.1623,216.2269
294.4697,226.2831
302.9274,229.304
310.7771,232.2689
327.0846,243.6567
329.5435,245.6114
343.392,257.4011
351.3215,261.9189
359.6994,265.8449
376.0069,275.6008
379.9308,278.2263
392.3143,288.1931
402.1445,294.5337
408.6217,298.9711
424.9291,308.8343
427.9431,310.8411
441.2366,319.5455
455.7248,327.1486
457.544,328.3079
473.8514,336.8411
483.9334,343.456
490.1589,347.5978
506.4663,355.8842
522.0153,359.7634
522.7737,359.9691
539.0811,364.4633
555.3886,369.225
571.696,368.6482
588.0034,361.885
591.212,359.7634
604.3109,346.6959
606.9015,343.456
616.1899,327.1486
620.6183,316.8503
623.1488,310.8411
629.5947,294.5337
635.1219,278.2263
636.9257,271.5331
639.3275,261.9189
642.5504,245.6114
645.1587,229.304
647.6173,212.9966
649.825,196.6891
650.679,180.3817
651.763,164.0743
652.8752,147.7669
653.2331,141.7627
653.8578,131.4594
654.6498,115.152
655.2134,98.84457
655.2047,82.53714
655.1248,66.22971
655.0595,49.92229
655.183,33.61486
655.823,17.30743
657.4676,1

