#: table_doi: 10.17182/hepdata.89413.v1/t25
#: name: Exclusion contour (obs) 6
#: description: Observed exclusion limits on SUSY simplified models for selectron-pair production, with left and right handed selectron production combined. All limits are computed at 95% CL.
#: data_file: Fig_9_OBS_DirSlep_EE.yaml
#: data_license:   
#: keyword reactions: pp --> SLEPTON SLEPTON | SLEPTON --> LEPTON NEUTRALINO1 | pp --> SELECTRON SELECTRON | SELECTRON --> E NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
m($\tilde{l}$) [GeV],m($\tilde{\chi}_{1}^{0}$) [GeV]
115.088,29.81536
120.6402,33.61486
131.3954,48.50007
132.659,49.92229
144.1885,66.22971
147.7029,69.34998
156.0541,82.53714
159.885,98.84457
164.0103,114.549
164.198,115.152
180.3177,125.7094
196.6251,130.0179
199.9545,131.4594
212.9326,137.094
222.0394,147.7669
229.24,163.8814
229.3716,164.0743
245.5474,176.9866
253.6289,180.3817
261.8549,184.4102
276.3056,196.6891
278.1623,199.6395
292.5643,212.9966
294.4697,214.1805
310.7771,221.2299
325.3992,229.304
327.0846,230.5489
343.392,242.821
348.184,245.6114
359.6994,251.8592
376.0069,259.9011
379.5058,261.9189
392.3143,269.1711
408.6217,277.362
410.439,278.2263
424.9291,287.3503
432.805,294.5337
441.2366,301.8066
456.7854,310.8411
457.544,311.248
473.8514,314.1249
490.1589,316.8859
506.4663,318.046
522.7737,312.1021
524.3507,310.8411
538.5501,294.5337
539.0811,293.8669
551.1561,278.2263
555.3886,271.5114
561.4896,261.9189
569.3013,245.6114
571.696,238.9942
575.3575,229.304
580.2232,212.9966
584.7315,196.6891
588.0034,185.3096
589.4574,180.3817
593.6504,164.0743
596.8461,147.7669
599.1813,131.4594
600.8528,115.152
601.9661,98.84457
602.2656,82.53714
602.2137,66.22971
601.8926,49.92229
601.3976,33.61486
600.9201,17.30743
601.1073,1

