#: table_doi: 10.17182/hepdata.89413.v1/t27
#: name: Exclusion contour (obs) 7
#: description: Observed exclusion limits on SUSY simplified models for left-handed selectron-pair production. All limits are computed at 95% CL.
#: data_file: Fig_9_OBS_DirSlep_EE_LH.yaml
#: data_license:   
#: keyword reactions: pp --> SLEPTON SLEPTON | SLEPTON --> LEPTON NEUTRALINO1 | pp --> SELECTRON SELECTRON | SELECTRON --> E NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
m($\tilde{l}$) [GeV],m($\tilde{\chi}_{1}^{0}$) [GeV]
105.8025,17.30743
115.088,24.63958
126.6562,33.61486
131.3954,40.42513
139.2262,49.92229
147.7029,60.19553
151.661,66.22971
161.5524,82.53714
164.0103,94.74574
164.6496,98.84457
167.2788,115.152
180.3177,125.0953
196.6251,129.9579
200.8656,131.4594
212.9326,135.557
225.7291,147.7669
229.24,154.7683
236.5316,164.0743
245.5474,171.3358
261.8549,179.0101
264.2666,180.3817
278.1623,191.3875
284.8003,196.6891
294.4697,204.8963
310.7771,212.6716
311.4854,212.9966
327.0846,220.6594
342.8298,229.304
343.392,229.7238
359.6994,239.7974
368.7598,245.6114
376.0069,251.3962
392.3143,260.8424
395.8326,261.9189
408.6217,265.1905
424.9291,269.3627
440.2104,278.2263
441.2366,279.2211
457.544,292.7105
473.8514,286.8197
490.0997,278.2263
490.1589,278.1835
506.4663,263.29
507.7071,261.9189
518.5196,245.6114
522.7737,236.524
525.8272,229.304
530.7112,212.9966
534.4599,196.6891
538.8307,180.3817
539.0811,179.2819
543.0115,164.0743
545.9311,147.7669
547.722,131.4594
548.6855,115.152
549.3734,98.84457
550.5897,82.53714
551.5075,66.22971
551.8939,49.92229
551.8092,33.61486
551.5068,17.30743
551.8898,1

