#: table_doi: 10.17182/hepdata.89413.v1/t31
#: name: Exclusion contour (obs) 9
#: description: Observed exclusion limits on SUSY simplified models for smuon-pair production, with left and right handed smuon production combined. All limits are computed at 95% CL.
#: data_file: Fig_10_OBS_DirSlep_MM.yaml
#: data_license:   
#: keyword reactions: pp --> SLEPTON SLEPTON | SLEPTON --> LEPTON NEUTRALINO1 | pp --> SMUON SMUON | SMUON --> MUON NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
m($\tilde{l}$) [GeV],m($\tilde{\chi}_{1}^{0}$) [GeV]
103.1419,17.30743
115.088,24.73199
129.3609,33.61486
131.3954,36.2381
143.8258,49.92229
147.7029,55.66467
154.3066,66.22971
162.8274,82.53714
164.0103,88.41626
165.6856,98.84457
170.0639,115.152
180.3177,122.6765
196.6251,126.4514
205.5162,131.4594
212.9326,141.3348
216.2688,147.7669
221.9812,164.0743
229.24,169.6797
245.5474,174.9189
261.8549,180.2561
262.0794,180.3817
278.1623,195.3818
279.195,196.6891
291.8736,212.9966
294.4697,215.1069
310.7771,223.4482
320.9372,229.304
327.0846,234.3284
342.9528,245.6114
343.392,246.2414
357.821,261.9189
359.6994,264.5189
376.0069,276.7081
380.3234,278.2263
392.3143,281.5722
408.6217,285.108
424.9291,290.6547
432.2097,294.5337
441.2366,299.5938
457.544,307.5753
467.8403,310.8411
473.8514,312.9822
490.1589,318.6881
506.4663,323.1679
522.7737,323.6255
539.0811,318.5769
548.5259,310.8411
555.3886,302.8356
561.8162,294.5337
571.696,281.2769
573.5346,278.2263
581.8745,261.9189
587.744,245.6114
588.0034,244.6109
591.8756,229.304
594.5207,212.9966
596.7153,196.6891
599.9288,180.3817
602.4665,164.0743
604.1842,147.7669
604.3109,145.6438
605.2052,131.4594
605.4911,115.152
605.2767,98.84457
605.6451,82.53714
605.4689,66.22971
604.7404,49.92229
604.3109,43.83794
603.6513,33.61486
602.4452,17.30743
602.0042,1

