#: table_doi: 10.17182/hepdata.89413.v1/t15
#: name: SR kinematics 1
#: description: Distributions of $m_{T2}$ in SRSF-0J for data and the estimated SM backgrounds. The normalisation factors extracted from the corresponding CRs are used to rescale the $t\bar t$, single top, WW, WZ and ZZ backgrounds. The fake and non-prompt leptons background (FNP) is calculated using the data-driven matrix method. The uncertainty band includes all sources of systematic and statistical errors and the last bin includes the overflow. Distributions for three benchmark signal points are overlaid for comparison.
#: data_file: Fig_6a_Kinem_MT2_SRSF_0J.yaml
#: data_license:   
#: keyword reactions: pp --> CHARGINO1 CHARGINO1 | pp --> SLEPTON SLEPTON | CHARGINO1 --> W NEUTRALINO1 | CHARGINO1 --> SLEPTON NU | CHARGINO1 -->SNU LEPTON | SLEPTON --> LEPTON NEUTRALINO1
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,Data
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat +,stat -
110.0,100.0,120.0,53,8,-7
130.0,120.0,140.0,37,7,-6
150.0,140.0,160.0,20,6,-4
170.0,160.0,180.0,12,5,-3
190.0,180.0,200.0,8,4,-3
210.0,200.0,220.0,4,3,-2
230.0,220.0,240.0,1,2,-1
250.0,240.0,260.0,4,3,-2
270.0,260.0,280.0,8,4,-3

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,Total Bkg
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,56.4,4.2,-4.2
130.0,120.0,140.0,33.3,2.6,-2.6
150.0,140.0,160.0,17.5,1.5,-1.5
170.0,160.0,180.0,10.4,1.0,-1.0
190.0,180.0,200.0,7.3,1.0,-1.0
210.0,200.0,220.0,6.1,1.1,-1.1
230.0,220.0,240.0,4.6,1.0,-1.0
250.0,240.0,260.0,2.1,0.5,-0.5
270.0,260.0,280.0,6.9,0.8,-0.8

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,WW
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,27.6,2.7,-2.7
130.0,120.0,140.0,17.4,1.9,-1.9
150.0,140.0,160.0,9.6,1.1,-1.1
170.0,160.0,180.0,5.7,0.7,-0.7
190.0,180.0,200.0,3.7,0.6,-0.6
210.0,200.0,220.0,2.6,0.5,-0.5
230.0,220.0,240.0,2.0,0.5,-0.5
250.0,240.0,260.0,0.7,0.3,-0.3
270.0,260.0,280.0,3.3,0.4,-0.4

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,WZ
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,3.5,0.3,-0.3
130.0,120.0,140.0,2.7,0.2,-0.2
150.0,140.0,160.0,1.4,0.2,-0.2
170.0,160.0,180.0,1.0,0.1,-0.1
190.0,180.0,200.0,0.6,0.1,-0.1
210.0,200.0,220.0,0.3,0.1,-0.1
230.0,220.0,240.0,0.3,0.1,-0.1
250.0,240.0,260.0,0.17,0.04,-0.04
270.0,260.0,280.0,0.6,0.1,-0.1

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,ZZ
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,11.1,0.7,-0.7
130.0,120.0,140.0,8.0,0.7,-0.7
150.0,140.0,160.0,5.6,0.5,-0.5
170.0,160.0,180.0,3.5,0.3,-0.3
190.0,180.0,200.0,2.6,0.4,-0.4
210.0,200.0,220.0,2.5,0.5,-0.5
230.0,220.0,240.0,1.3,0.3,-0.3
250.0,240.0,260.0,1.1,0.2,-0.2
270.0,260.0,280.0,2.8,0.3,-0.3

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,ttbar
