#: table_doi: 10.17182/hepdata.89413.v1/t17
#: name: SR kinematics 3
#: description: Distributions of $m_{T2}$ in SRDF-0J for data and the estimated SM backgrounds. The normalisation factors extracted from the corresponding CRs are used to rescale the $t\bar t$, single top, WW, WZ and ZZ backgrounds. The fake and non-prompt leptons background (FNP) is calculated using the data-driven matrix method. The uncertainty band includes all sources of systematic and statistical errors and the last bin includes the overflow. Distributions for three benchmark signal points are overlaid for comparison.
#: data_file: Fig_6c_Kinem_MT2_SRDF_0J.yaml
#: data_license:   
#: keyword reactions: pp --> CHARGINO1 CHARGINO1 | pp --> SLEPTON SLEPTON | CHARGINO1 --> W NEUTRALINO1 | CHARGINO1 --> SLEPTON NU | CHARGINO1 -->SNU LEPTON | SLEPTON --> LEPTON NEUTRALINO1
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,Data
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat +,stat -,stat+syst +,stat+syst -
110.0,100.0,120.0,47,8,-7,0,0
130.0,120.0,140.0,16,5,-4,0,0
150.0,140.0,160.0,11,4,-3,0,0
170.0,160.0,180.0,8,4,-3,0,0
190.0,180.0,200.0,4,3,-2,0,0
210.0,200.0,220.0,5,3,-2,0,0
230.0,220.0,240.0,0,0,0,0,0
250.0,240.0,260.0,0,0,0,0,0
270.0,260.0,280.0,4,3,-2,0,0

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,Total Bkg
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,45.4,3.9,-3.9
130.0,120.0,140.0,21.7,2.2,-2.2
150.0,140.0,160.0,11.0,1.2,-1.2
170.0,160.0,180.0,6.3,0.8,-0.8
190.0,180.0,200.0,4.0,0.6,-0.6
210.0,200.0,220.0,2.5,0.4,-0.4
230.0,220.0,240.0,1.9,0.4,-0.4
250.0,240.0,260.0,1.3,0.3,-0.3
270.0,260.0,280.0,2.9,0.5,-0.5

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,WW
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,28.5,2.9,-2.9
130.0,120.0,140.0,18.4,2.1,-2.1
150.0,140.0,160.0,10.5,1.2,-1.2
170.0,160.0,180.0,6.2,0.8,-0.8
190.0,180.0,200.0,4.0,0.6,-0.6
210.0,200.0,220.0,2.3,0.4,-0.4
230.0,220.0,240.0,1.8,0.4,-0.4
250.0,240.0,260.0,1.1,0.3,-0.3
270.0,260.0,280.0,2.8,0.5,-0.5

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,WZ
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,0.7,0.1,-0.1
130.0,120.0,140.0,0.29,0.04,-0.04
150.0,140.0,160.0,0.18,0.04,-0.04
170.0,160.0,180.0,0.1,0.03,-0.03
190.0,180.0,200.0,0.001,0.001,-0.001
210.0,200.0,220.0,0.13,0.04,-0.04
230.0,220.0,240.0,0.08,0.03,-0.03
250.0,240.0,260.0,0.0,0.0,-0.0
270.0,260.0,280.0,0.1,0.03,-0.03

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,ZZ
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,0.06,0.01,-0.01
130.0,120.0,140.0,0.0,0.0,-0.0
150.0,140.0,160.0,0.0,0.0,-0.0
170.0,160.0,180.0,0.0,0.0,-0.0
190.0,180.0,200.0,0.0,0.0,-0.0
210.0,200.0,220.0,0.1,0.0,-0.0
230.0,220.0,240.0,0.0,0.0,-0.0
250.0,240.0,260.0,0.0,0.0,-0.0
270.0,260.0,280.0,0.07,0.01,-0.01

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,ttbar
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,11.4,1.8,-1.8
130.0,120.0,140.0,1.9,0.4,-0.4
150.0,140.0,160.0,0.2,0.1,-0.1
170.0,160.0,180.0,0.0,0.0,-0.0
190.0,180.0,200.0,0.0,0.0,-0.0
210.0,200.0,220.0,0.0,0.0,-0.0
230.0,220.0,240.0,0.0,0.0,-0.0
250.0,240.0,260.0,0.0,0.0,-0.0
270.0,260.0,280.0,0.0,0.0,-0.0

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,Singletop
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,3.3,0.8,-0.8
130.0,120.0,140.0,0.4,0.1,-0.1
150.0,140.0,160.0,0.0,0.0,-0.0
170.0,160.0,180.0,0.0,0.0,-0.0
190.0,180.0,200.0,0.0,0.0,-0.0
210.0,200.0,220.0,0.0,0.0,-0.0
230.0,220.0,240.0,0.0,0.0,-0.0
250.0,240.0,260.0,0.0,0.0,-0.0
270.0,260.0,280.0,0.0,0.0,-0.0

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,Others
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,0.09,0.02,-0.02
130.0,120.0,140.0,0.06,0.04,-0.04
150.0,140.0,160.0,0.0,0.0,-0.0
170.0,160.0,180.0,0.0,0.0,-0.0
190.0,180.0,200.0,0.0,0.0,-0.0
210.0,200.0,220.0,0.0,0.0,-0.0
230.0,220.0,240.0,0.0,0.0,-0.0
250.0,240.0,260.0,0.0,0.0,-0.0
270.0,260.0,280.0,0.0,0.0,-0.0

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,FNP
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,1.4,0.4,-0.4
130.0,120.0,140.0,0.6,0.1,-0.1
