#: table_doi: 10.17182/hepdata.89413.v1/t5
#: name: VR kinematics 2
#: description: Distributions of $m_{T2}$ in VR-top-high for data and the estimated SM backgrounds. The normalisation factors extracted from the corresponding CRs are used to rescale the $t\bar t$, single top, WW, WZ and ZZ backgrounds. The fake and non-prompt leptons background (FNP) is calculated using the data-driven matrix method. The uncertainty band includes all sources of systematic and statistical errors and the last bin includes the overflow.
#: data_file: Fig_3b_Kinem_MT2_VRtopH.yaml
#: data_license:   
#: keyword reactions: pp --> CHARGINO1 CHARGINO1 | pp --> SLEPTON SLEPTON | CHARGINO1 --> W NEUTRALINO1 | CHARGINO1 --> SLEPTON NU | CHARGINO1 -->SNU LEPTON | SLEPTON --> LEPTON NEUTRALINO1
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,Data
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat +,stat -
112.5,100.0,125.0,44,8,-7
137.5,125.0,150.0,3,3,-2
162.5,150.0,175.0,2,3,-1
187.5,175.0,200.0,0,0,0
212.5,200.0,225.0,0,0,0
237.5,225.0,250.0,1,2,-1

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,Total Bkg
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
112.5,100.0,125.0,45.7,4.1,-4.1
137.5,125.0,150.0,4.0,0.8,-0.8
162.5,150.0,175.0,1.5,0.4,-0.4
187.5,175.0,200.0,0.5,0.1,-0.1
212.5,200.0,225.0,0.3,0.1,-0.1
237.5,225.0,250.0,0.8,0.3,-0.3

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,WW
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
112.5,100.0,125.0,1.2,0.2,-0.2
137.5,125.0,150.0,0.3,0.1,-0.1
162.5,150.0,175.0,0.5,0.1,-0.1
187.5,175.0,200.0,0.2,0.1,-0.1
212.5,200.0,225.0,0.1,0.1,-0.1
237.5,225.0,250.0,0.3,0.2,-0.2

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,WZ
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
112.5,100.0,125.0,0.07,0.02,-0.02
137.5,125.0,150.0,0.0,0.0,-0.0
162.5,150.0,175.0,0.0,0.0,-0.0
