#: table_doi: 10.17182/hepdata.89413.v1/t7
#: name: VR kinematics 4
#: description: Distributions of $E_T^{miss}$ in VR-WW-1J for data and the estimated SM backgrounds. The normalisation factors extracted from the corresponding CRs are used to rescale the $t\bar t$, single top, WW, WZ and ZZ backgrounds. The fake and non-prompt leptons background (FNP) is calculated using the data-driven matrix method. The uncertainty band includes all sources of systematic and statistical errors and the last bin includes the overflow.
#: data_file: Fig_3d_Kinem_MET_VRWW1J.yaml
#: data_license:   
#: keyword reactions: pp --> CHARGINO1 CHARGINO1 | pp --> SLEPTON SLEPTON | CHARGINO1 --> W NEUTRALINO1 | CHARGINO1 --> SLEPTON NU | CHARGINO1 -->SNU LEPTON | SLEPTON --> LEPTON NEUTRALINO1
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,Data
$E_T^{miss}$ [GeV],$E_T^{miss}$ [GeV] LOW,$E_T^{miss}$ [GeV] HIGH,N,stat +,stat -
80.0,60.0,100.0,1700,42,-41
120.0,100.0,140.0,718,28,-27
160.0,140.0,180.0,163,14,-13
200.0,180.0,220.0,56,8,-7
240.0,220.0,260.0,17,5,-4
280.0,260.0,300.0,7,4,-3
320.0,300.0,340.0,8,4,-3
360.0,340.0,380.0,1,2,-1
400.0,380.0,420.0,1,2,-1

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,Total Bkg
$E_T^{miss}$ [GeV],$E_T^{miss}$ [GeV] LOW,$E_T^{miss}$ [GeV] HIGH,N,stat+syst +,stat+syst -
80.0,60.0,100.0,1844.9,120.8,-120.8
120.0,100.0,140.0,737.7,60.5,-60.5
160.0,140.0,180.0,171.0,16.1,-16.1
200.0,180.0,220.0,51.0,4.3,-4.3
240.0,220.0,260.0,20.6,2.2,-2.2
280.0,260.0,300.0,9.0,1.4,-1.4
320.0,300.0,340.0,4.3,1.0,-1.0
360.0,340.0,380.0,2.3,0.4,-0.4
400.0,380.0,420.0,3.1,0.6,-0.6

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,WW
$E_T^{miss}$ [GeV],$E_T^{miss}$ [GeV] LOW,$E_T^{miss}$ [GeV] HIGH,N,stat+syst +,stat+syst -
80.0,60.0,100.0,705.2,68.1,-68.1
120.0,100.0,140.0,201.9,24.1,-24.1
160.0,140.0,180.0,49.3,6.1,-6.1
200.0,180.0,220.0,17.8,2.1,-2.1
240.0,220.0,260.0,8.3,1.2,-1.2
280.0,260.0,300.0,3.0,0.6,-0.6
320.0,300.0,340.0,2.0,0.6,-0.6
360.0,340.0,380.0,1.5,0.3,-0.3
400.0,380.0,420.0,2.0,0.4,-0.4

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,WZ
$E_T^{miss}$ [GeV],$E_T^{miss}$ [GeV] LOW,$E_T^{miss}$ [GeV] HIGH,N,stat+syst +,stat+syst -
80.0,60.0,100.0,18.7,1.1,-1.1
120.0,100.0,140.0,5.1,0.6,-0.6
160.0,140.0,180.0,1.9,0.3,-0.3
200.0,180.0,220.0,0.7,0.2,-0.2
240.0,220.0,260.0,0.2,0.1,-0.1
280.0,260.0,300.0,0.2,0.1,-0.1
320.0,300.0,340.0,0.1,0.03,-0.03
360.0,340.0,380.0,0.0,0.0,-0.0
400.0,380.0,420.0,0.1,0.04,-0.04

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,ZZ
$E_T^{miss}$ [GeV],$E_T^{miss}$ [GeV] LOW,$E_T^{miss}$ [GeV] HIGH,N,stat+syst +,stat+syst -
80.0,60.0,100.0,0.25,0.05,-0.05
120.0,100.0,140.0,0.06,0.03,-0.03
160.0,140.0,180.0,0.07,0.02,-0.02
200.0,180.0,220.0,0.0,0.0,-0.0
240.0,220.0,260.0,0.0,0.0,-0.0
280.0,260.0,300.0,0.0,0.0,-0.0
320.0,300.0,340.0,0.0,0.0,-0.0
360.0,340.0,380.0,0.0,0.0,-0.0
400.0,380.0,420.0,0.0,0.0,-0.0

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,ttbar
$E_T^{miss}$ [GeV],$E_T^{miss}$ [GeV] LOW,$E_T^{miss}$ [GeV] HIGH,N,stat+syst +,stat+syst -
80.0,60.0,100.0,854.0,99.6,-99.6
120.0,100.0,140.0,419.9,46.0,-46.0
160.0,140.0,180.0,93.4,11.3,-11.3
200.0,180.0,220.0,23.5,2.9,-2.9
240.0,220.0,260.0,8.1,1.2,-1.2
280.0,260.0,300.0,2.8,0.5,-0.5
320.0,300.0,340.0,0.9,0.2,-0.2
360.0,340.0,380.0,0.4,0.1,-0.1
400.0,380.0,420.0,0.5,0.1,-0.1

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,Singletop
$E_T^{miss}$ [GeV],$E_T^{miss}$ [GeV] LOW,$E_T^{miss}$ [GeV] HIGH,N,stat+syst +,stat+syst -
80.0,60.0,100.0,249.2,26.4,-26.4
120.0,100.0,140.0,99.4,10.8,-10.8
160.0,140.0,180.0,21.3,3.1,-3.1
200.0,180.0,220.0,7.8,1.2,-1.2
240.0,220.0,260.0,2.4,0.5,-0.5
280.0,260.0,300.0,1.1,0.5,-0.5
320.0,300.0,340.0,0.4,0.2,-0.2
360.0,340.0,380.0,0.0,0.1,-0.1
400.0,380.0,420.0,0.1,0.1,-0.1

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,Others
$E_T^{miss}$ [GeV],$E_T^{miss}$ [GeV] LOW,$E_T^{miss}$ [GeV] HIGH,N,stat+syst +,stat+syst -
80.0,60.0,100.0,1.0,0.5,-0.5
120.0,100.0,140.0,0.7,0.1,-0.1
160.0,140.0,180.0,0.2,0.1,-0.1
200.0,180.0,220.0,0.0,0.0,-0.0
240.0,220.0,260.0,0.0,0.0,-0.0
280.0,260.0,300.0,0.0,0.0,-0.0
320.0,300.0,340.0,0.0,0.0,-0.0
360.0,340.0,380.0,0.0,0.0,-0.0
400.0,380.0,420.0,0.0,0.0,-0.0

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,FNP
$E_T^{miss}$ [GeV],$E_T^{miss}$ [GeV] LOW,$E_T^{miss}$ [GeV] HIGH,N,stat+syst +,stat+syst -
80.0,60.0,100.0,16.4,13.2,-13.2
120.0,100.0,140.0,10.5,5.6,-5.6
160.0,140.0,180.0,4.8,1.5,-1.5
200.0,180.0,220.0,1.2,0.4,-0.4
240.0,220.0,260.0,1.6,0.3,-0.3
280.0,260.0,300.0,2.0,0.3,-0.3
320.0,300.0,340.0,0.9,0.2,-0.2
360.0,340.0,380.0,0.3,0.1,-0.1
400.0,380.0,420.0,0.4,0.1,-0.1

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,m($\tilde{\chi}^{\pm}_1$,$\tilde{l}^{\pm}$,$\tilde{\chi}^{0}_1$)=(600,300,1)GeV
$E_T^{miss}$ [GeV],$E_T^{miss}$ [GeV] LOW,$E_T^{miss}$ [GeV] HIGH,N,stat+syst +,stat+syst -
80.0,60.0,100.0,0.93,0.02,-0.02
120.0,100.0,140.0,0.55,0.02,-0.02
160.0,140.0,180.0,0.31,0.01,-0.01
200.0,180.0,220.0,1.1,0.1,-0.1
240.0,220.0,260.0,0.12,0.01,-0.01
280.0,260.0,300.0,0.21,0.03,-0.03
320.0,300.0,340.0,0.4,0.1,-0.1
360.0,340.0,380.0,0.17,0.05,-0.05
400.0,380.0,420.0,0.5,0.1,-0.1

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,m($\tilde{\chi}^{\pm}_1$,$\tilde{\chi}^{0}_1$)=(300,50)GeV
$E_T^{miss}$ [GeV],$E_T^{miss}$ [GeV] LOW,$E_T^{miss}$ [GeV] HIGH,N,stat+syst +,stat+syst -
80.0,60.0,100.0,3.3,0.1,-0.1
120.0,100.0,140.0,3.4,0.1,-0.1
160.0,140.0,180.0,1.74,0.04,-0.04
200.0,180.0,220.0,1.06,0.04,-0.04
240.0,220.0,260.0,0.51,0.02,-0.02
280.0,260.0,300.0,0.28,0.02,-0.02
320.0,300.0,340.0,0.0,0.0,-0.0
360.0,340.0,380.0,0.0,0.0,-0.0
400.0,380.0,420.0,0.0,0.0,-0.0

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,m($\tilde{l}^{\pm}$,$\tilde{\chi}^{0}_1$)=(400,200)GeV
$E_T^{miss}$ [GeV],$E_T^{miss}$ [GeV] LOW,$E_T^{miss}$ [GeV] HIGH,N,stat+syst +,stat+syst -
80.0,60.0,100.0,0.0,0.0,-0.0
120.0,100.0,140.0,0.0,0.0,-0.0
160.0,140.0,180.0,0.0,0.0,-0.0
200.0,180.0,220.0,0.0,0.0,-0.0
240.0,220.0,260.0,0.0,0.0,-0.0
280.0,260.0,300.0,0.0,0.0,-0.0
