x	y
30.602	29.901
30.832	30.180
31.150	30.392
31.345	30.745
31.634	30.977
31.902	31.319
32.182	31.472
32.380	31.826
32.611	32.026
32.837	32.253
33.065	32.538
33.306	32.754
33.545	32.787
33.727	33.121
33.962	33.336
34.206	33.618
34.496	33.947
34.793	34.203
35.067	34.433
35.304	34.703
35.579	34.965
35.894	35.265
36.163	35.564
36.438	35.905
36.761	36.148
37.093	36.515
37.450	36.812
37.721	37.170
38.049	37.448
38.371	37.801
38.726	37.932
39.085	37.932
39.442	37.932
39.883	37.932
40.309	37.932
40.718	38.003
41.055	38.406
41.430	38.770
41.796	39.111
42.066	39.523
42.393	39.736
42.790	40.080
43.044	40.547
43.039	41.400
43.516	41.915
43.880	42.193
44.224	42.604
44.638	42.969
45.006	43.399
45.379	43.770
45.754	44.147
46.098	44.539
46.477	44.901
46.761	45.140
47.072	45.505
47.438	45.847
47.765	46.146
48.041	46.479
48.429	46.816
48.800	47.023
49.252	47.023
49.518	47.023
49.838	47.322
50.255	47.734
50.711	48.142
51.073	48.435
51.489	48.849
51.782	49.157
52.113	49.506
52.450	49.842
52.715	50.117
52.993	50.453
53.004	51.077
53.092	51.487
53.407	51.812
53.721	52.149
54.083	52.494
54.447	52.903
54.786	53.253
55.167	53.677
55.541	53.978
55.875	54.301
56.214	54.697
56.672	55.136
57.137	55.645
57.513	55.925
58.017	56.013
58.453	56.002
58.871	56.365
59.245	56.642
59.545	57.043
59.966	57.394
60.482	57.826
60.947	58.389
61.338	58.801
61.771	59.186
62.124	59.554
62.454	59.908
62.957	60.331
63.346	60.873
63.728	61.306
64.145	61.623
64.393	61.832
64.807	62.240
65.142	62.595
65.479	63.027
65.893	63.370
66.279	63.750
66.647	64.097
67.006	64.442
67.360	64.917
67.734	65.197
68.101	65.556
68.519	66.002
68.981	66.436
69.414	66.885
69.804	67.390
70.264	67.736
70.661	68.097
71.077	68.581
71.505	69.008
71.924	69.366
72.288	69.796
72.795	70.218
73.145	70.637
73.569	71.125
73.940	71.478
74.286	71.876
74.749	72.242
75.180	72.708
75.587	73.057
76.047	73.477
76.525	74.048
77.044	74.510
77.375	74.801
77.755	75.289
78.069	75.559
78.441	75.998
78.808	76.286
79.317	76.828
79.747	77.255
80.116	77.673
80.671	78.241
81.147	78.701
81.539	79.112
81.911	79.461
82.424	79.913
82.803	80.377
83.214	80.819
83.214	80.819
83.721	81.172
84.122	81.639
84.550	82.072
84.910	82.412
85.277	82.764
85.692	83.200
86.253	83.782
86.801	84.333
87.363	84.830
87.879	85.484
88.412	86.036
89.007	86.050
89.538	86.116
90.122	86.116
90.664	86.116
91.078	85.578
91.515	85.168
92.017	84.609
92.065	83.570
91.558	83.054
91.086	82.558
91.512	82.074
91.967	81.591
92.377	81.184
93.061	80.639
93.061	79.956
93.010	79.414
93.355	79.160
93.746	78.867
94.054	78.465
94.054	77.528
94.595	76.960
95.455	78.107
96.096	77.498
96.096	75.552
96.986	74.627
96.090	73.488
95.985	72.009
95.985	70.545
97.107	69.569
97.023	68.129
97.023	67.126
97.023	65.956
97.023	64.664
97.023	63.631
97.023	62.675
97.015	61.418
96.969	60.395
97.133	59.405
97.999	58.552
97.089	57.430
97.950	56.434
97.964	55.283
98.057	54.412
98.057	53.449
98.057	52.232
98.057	51.491
98.011	50.488
97.126	49.528
97.485	48.986
98.036	48.420
98.036	47.656
98.036	46.573
97.992	45.573
98.037	44.487
99.010	43.353
99.010	42.300
99.013	40.956
99.013	39.717
99.013	38.617
99.013	37.298
99.052	35.665
99.053	34.452
99.009	33.204
99.030	31.856
99.008	30.601
99.008	29.503
99.030	28.491
99.024	27.474
99.024	26.854
99.024	25.832
99.019	24.751
99.019	23.611
99.019	22.380
99.019	21.159
99.019	20.205
99.019	18.993
99.019	17.790
99.015	16.636
99.018	15.490
98.987	14.313
98.982	13.278
99.026	12.160
99.026	11.214
99.023	10.464
99.023	9.298
98.060	8.250
98.010	6.851
97.988	5.480
98.034	4.215
98.011	3.006
98.019	2.047
98.011	0.518
