x	y
30.555	29.912
30.785	30.151
31.052	30.442
31.361	30.739
31.705	31.041
32.059	31.407
32.390	31.765
32.799	32.116
33.070	32.432
33.492	32.779
33.858	33.258
34.333	33.763
34.822	34.267
35.399	34.781
35.837	35.288
36.459	35.820
37.111	35.830
37.865	35.897
38.545	35.896
39.156	36.532
39.685	37.060
40.288	37.699
40.942	38.287
41.492	38.896
42.069	39.434
42.612	39.982
43.311	40.689
43.924	41.395
44.636	41.969
45.380	42.825
46.081	43.375
46.636	43.992
47.268	44.599
47.854	45.257
48.462	45.824
49.146	46.475
49.711	47.058
50.333	47.780
50.931	48.288
51.599	48.939
52.109	49.496
52.660	49.971
53.350	50.705
53.971	51.358
54.542	51.882
55.062	52.456
55.585	52.978
56.170	53.582
56.610	53.945
57.116	54.570
57.748	55.100
58.284	55.663
58.898	56.365
59.659	57.013
60.284	57.688
60.791	58.239
61.306	58.663
61.868	59.235
62.359	59.700
62.883	60.274
63.503	60.954
64.118	61.521
64.760	62.150
65.356	62.742
66.015	63.404
66.564	63.966
67.267	64.684
67.918	65.312
68.665	66.069
69.373	66.731
70.214	67.571
70.718	68.111
71.456	68.875
72.141	69.645
72.794	70.147
73.324	70.725
73.926	71.306
74.642	72.050
75.304	72.549
75.776	73.180
76.433	73.891
77.042	73.974
77.582	73.974
78.247	74.616
78.856	75.254
79.460	75.836
80.178	76.534
80.770	77.164
81.360	77.761
82.004	78.385
82.645	79.065
83.453	79.766
84.053	80.411
84.680	81.057
85.483	81.971
86.534	81.969
87.484	82.905
88.505	82.830
89.219	83.640
89.985	84.487
90.836	85.162
91.588	85.968
92.191	86.527
92.745	87.090
93.508	87.907
94.067	87.433
94.017	86.315
94.575	85.822
95.063	86.370
94.978	87.663
95.033	89.102
94.943	89.439
95.505	89.976
96.527	90.047
97.045	89.370
97.044	88.250
97.044	87.075
97.015	86.095
97.014	85.113
97.060	84.004
97.010	82.780
97.018	81.624
96.999	80.584
96.999	79.488
96.999	78.718
97.036	77.791
97.029	76.728
97.007	75.601
97.035	74.349
95.976	73.274
95.975	72.351
95.975	71.094
96.025	69.980
95.982	68.953
96.020	67.665
95.974	66.311
95.546	65.880
94.498	65.743
93.978	65.315
93.982	64.474
93.981	63.367
93.981	62.341
93.981	61.412
93.963	60.439
93.959	59.502
94.011	58.619
94.005	57.499
94.004	56.526
94.042	55.466
93.989	54.430
92.971	53.350
92.971	52.860
93.006	51.980
93.003	50.867
92.999	49.849
92.984	48.664
92.984	47.305
92.130	46.344
92.978	45.284
92.963	44.309
92.029	43.271
92.991	42.372
92.990	41.392
91.997	40.403
91.997	39.427
91.952	38.708
91.995	37.899
91.994	36.936
91.994	36.104
91.994	35.092
91.993	34.110
91.950	33.646
91.987	33.285
91.611	32.839
90.950	32.333
90.995	31.410
90.945	30.522
90.985	29.442
90.985	28.451
90.957	27.378
90.993	26.208
90.992	24.961
90.992	23.716
90.990	22.442
90.989	21.361
90.989	20.406
90.949	19.239
90.442	18.707
89.996	18.251
89.995	17.582
89.995	16.604
89.995	15.568
89.994	14.655
89.994	13.628
89.953	12.605
89.996	11.549
89.996	10.351
89.997	9.321
89.987	8.290
89.391	7.719
88.991	7.275
88.990	6.336
88.990	5.416
88.945	4.375
88.994	3.337
88.993	2.289
88.538	1.760
87.945	1.300
87.577	0.831
86.950	0.242
