m_eR	m_eR-m_DM
99.595	59.031
99.596	57.481
99.597	55.965
99.599	53.915
99.382	52.270
99.281	50.734
99.283	49.229
99.812	48.120
99.389	46.963
99.167	45.153
99.169	43.355
99.171	41.778
99.583	40.386
99.796	39.017
99.469	37.691
99.122	36.326
99.124	35.130
99.022	33.684
99.023	32.913
98.917	31.711
98.918	31.084
98.919	30.266
98.920	29.666
98.922	28.785
99.283	28.111
99.277	27.255
99.175	26.435
99.177	25.368
99.178	24.526
99.289	23.790
99.311	23.150
99.207	22.150
99.209	21.347
99.166	20.766
99.168	20.152
99.069	19.420
99.554	18.958
99.993	18.267
99.994	17.721
99.894	17.069
99.678	16.502
99.568	15.829
99.457	15.299
99.457	14.649
99.458	14.255
99.356	13.728
99.314	13.197
99.316	12.622
99.213	12.016
99.109	11.571
98.685	11.112
98.477	10.705
98.373	10.306
97.949	9.894
97.633	9.568
97.418	9.217
97.102	8.908
96.675	8.636
96.576	8.267
96.353	7.941
96.355	7.540
96.357	7.280
96.246	7.015
96.248	6.762
96.441	6.518
96.366	6.227
96.134	6.016
96.043	5.711
95.900	5.464
95.589	5.263
95.579	5.069
95.567	4.927
95.569	4.743
95.367	4.569
95.258	4.433
94.838	4.282
94.220	4.183
93.699	4.071
93.266	3.964
92.741	3.835
92.114	3.744
91.912	3.620
91.807	3.524
91.480	3.398
90.849	3.307
90.737	3.230
90.522	3.111
90.309	2.997
89.772	2.944
88.832	2.924
87.776	2.934
86.434	2.895
85.350	2.929
84.181	2.858
82.923	2.792
81.616	2.734
80.476	2.669
79.548	2.597
78.828	2.518
78.099	2.475
77.368	2.391
76.813	2.312
75.972	2.242
75.329	2.188
74.914	2.131
74.495	2.073
73.658	2.023
72.843	1.977
#72.844	1.905 # following lines replaced by Shunichi Horigome
72.843	0.000


