m_muR	m_muR-m_DM
96.788	59.712
96.684	58.150
96.512	56.198
96.070	54.083
95.643	52.048
95.023	50.662
94.510	49.122
94.408	48.295
94.714	46.850
95.352	45.878
95.458	44.347
95.459	43.329
95.359	42.329
95.237	40.510
94.917	39.294
94.918	38.906
95.647	38.914
96.178	38.399
96.624	37.469
96.626	36.425
96.410	35.486
96.411	34.548
96.412	33.744
96.711	32.950
97.000	32.188
97.309	31.353
97.197	30.525
97.199	29.722
96.982	28.714
96.983	28.061
96.989	27.400
96.990	26.765
96.992	26.055
96.984	25.472
96.992	24.865
96.994	24.126
97.081	23.478
97.302	22.859
97.091	22.307
97.093	21.792
97.315	21.361
97.696	20.922
97.907	20.572
98.209	20.169
98.211	19.564
98.212	19.047
98.214	18.362
98.215	17.994
98.216	17.516
98.217	17.114
98.218	16.777
98.219	16.340
98.220	16.125
98.222	15.645
98.223	15.118
98.091	14.520
98.091	14.318
98.093	13.700
98.095	13.239
98.096	12.888
98.209	12.548
98.211	12.046
98.212	11.806
98.213	11.535
98.214	11.191
98.216	10.862
98.217	10.564
98.321	10.247
98.518	9.943
98.621	9.678
98.623	9.390
98.519	9.012
98.282	8.621
98.172	8.228
98.060	8.067
97.739	7.852
97.740	7.591
97.742	7.389
97.743	7.172
97.744	7.055
97.745	6.869
97.747	6.666
97.636	6.391
97.637	6.265
97.323	6.059
97.323	5.960
97.219	5.822
97.220	5.648
97.013	5.476
97.014	5.368
96.809	5.188
96.810	5.033
96.475	4.803
96.372	4.611
96.056	4.440
95.749	4.280
95.203	4.107
94.662	3.941
94.038	3.821
93.527	3.658
92.876	3.476
92.309	3.358
92.198	3.233
91.358	3.073
90.420	2.990
89.342	2.992
88.298	2.991
87.685	2.982
86.334	2.939
85.288	2.909
84.153	2.869
83.057	2.842
82.321	2.806
81.805	2.787
80.969	2.746
80.139	2.681
79.211	2.618
78.671	2.548
77.728	2.463
77.295	2.405
76.978	2.349
76.349	2.285
75.940	2.253
75.520	2.208
74.895	2.142
74.262	2.084
73.418	2.019
72.361	1.994 # following line replaced by Shunichi Horigome
0.0000	1.994

