m_eL	m_eL-mDM
100.449	18.880
101.370	18.685
101.983	18.558
102.802	18.368
103.598	18.219
104.429	18.030
105.347	17.903
106.322	17.893
106.926	17.711
107.738	17.580
108.581	17.468
109.387	17.294
110.117	17.120
111.054	17.001
112.115	16.888
112.946	16.713
113.965	16.608
114.944	16.497
115.869	16.322
116.919	16.153
117.945	16.045
119.182	15.939
120.122	15.831
121.021	15.615
122.156	15.506
123.291	15.283
124.203	15.133
125.663	15.026
126.985	14.878
128.014	14.715
129.065	14.572
130.122	14.435
131.249	14.235
132.266	14.080
133.425	13.892
134.495	13.713
135.723	13.665
136.835	13.438
138.021	13.335
139.259	13.151
140.286	13.057
141.460	12.837
142.303	12.708
143.486	12.578
144.592	12.435
145.856	12.220
146.761	12.053
148.172	11.973
149.198	11.731
150.359	11.612
151.720	11.375
152.743	11.259
153.761	11.109
154.743	10.921
155.601	10.800
156.442	10.666
157.506	10.476
158.347	10.322
159.421	10.171
160.479	9.997
161.455	9.786
162.522	9.578
163.442	9.450
164.467	9.246
165.101	8.980
166.195	8.779
166.810	8.543
167.419	8.376
168.167	8.119
168.683	7.825
169.090	7.563
169.191	7.289
169.193	6.987
168.793	6.690
168.279	6.441
167.660	6.222
166.858	6.069
166.118	5.883
165.480	5.743
164.614	5.580
163.447	5.426
162.472	5.288
161.466	5.161
160.818	5.071
159.743	4.966
158.881	4.842
157.672	4.728
156.594	4.627
155.553	4.516
154.158	4.420
153.178	4.310
151.820	4.234
150.612	4.145
149.430	4.050
148.427	3.967
147.392	3.886
146.225	3.808
145.132	3.727
144.100	3.666
142.917	3.599
141.634	3.523
140.788	3.438
139.646	3.368
138.455	3.301
137.161	3.243
136.018	3.188
134.785	3.123
133.842	3.047
132.808	3.004
131.850	2.932
130.880	2.889
129.822	2.819
128.774	2.760
127.634	2.706
126.787	2.660
125.656	2.632
124.672	2.594
123.514	2.556
122.587	2.486
121.425	2.433
120.279	2.382
119.117	2.336
117.907	2.292
116.629	2.235
115.472	2.175
114.397	2.137
113.260	2.093
111.944	2.056
110.695	2.006
109.319	1.958
107.975	1.931
106.707	1.878
105.438	1.846
104.111	1.812
102.839	1.776
101.360	1.751
100.091	1.708
99.056	1.679
97.602	1.655
96.530	1.628
95.385	1.600
94.419	1.573
93.051	1.552
91.954	1.524
90.816	1.498
89.568	1.465
88.323	1.441
86.986	1.425
85.847	1.399
84.803	1.379
83.950	1.360
82.809	1.342
81.539	1.322
80.378	1.294
79.227	1.271
78.075	1.249
77.036	1.233
76.193	1.211
75.145	1.186
74.171	1.170
73.430	1.150
