m_muL	m_muL-mDM
97.574	27.517
98.432	27.427
99.698	27.139
101.208	26.955
102.577	26.780
104.274	26.600
105.622	26.513
107.005	26.253
108.242	26.071
109.776	25.797
111.496	25.614
112.647	25.261
114.004	25.261
115.278	25.194
116.645	24.939
117.880	24.682
119.498	24.422
120.808	24.252
122.469	24.008
124.163	23.766
125.566	23.514
127.066	23.197
128.346	23.044
129.466	22.826
130.909	22.672
132.195	22.439
133.578	22.215
134.318	22.037
135.491	21.961
136.514	21.739
137.552	21.586
138.593	21.432
139.730	21.197
140.700	21.058
141.725	20.829
142.971	20.687
144.217	20.619
145.535	20.540
146.561	20.405
147.714	20.261
148.873	20.126
150.163	19.916
151.408	19.779
152.563	19.638
153.708	19.379
155.059	19.238
156.224	19.179
157.603	18.971
158.708	18.831
159.853	18.752
161.295	18.560
162.426	18.434
163.704	18.295
165.085	18.106
166.128	17.988
167.315	17.863
168.785	17.737
170.098	17.613
171.514	17.489
172.863	17.313
174.097	17.247
175.492	17.018
176.928	16.793
178.191	16.676
179.269	16.615
180.608	16.451
181.882	16.328
183.304	16.143
184.585	15.984
186.030	15.873
187.483	15.703
188.843	15.542
190.058	15.330
191.290	15.275
192.542	15.067
194.037	14.862
195.206	14.706
196.434	14.560
198.012	14.315
199.228	14.116
200.392	14.017
201.364	13.868
202.587	13.664
203.721	13.521
204.965	13.333
205.996	13.190
207.146	12.874
208.271	12.668
209.294	12.500
210.211	12.284
211.345	12.072
212.078	11.818
212.781	11.611
213.509	11.373
214.153	11.144
214.798	10.918
215.375	10.575
215.681	10.261
215.776	9.955
215.778	9.614
215.313	9.218
214.900	8.944
214.250	8.640
213.722	8.387
213.074	8.181
212.354	7.965
211.525	7.713
210.711	7.483
210.063	7.306
209.210	7.112
208.292	6.944
207.683	6.782
206.825	6.620
205.976	6.445
205.222	6.272
204.389	6.100
203.444	5.974
202.855	5.850
202.009	5.695
201.057	5.541
201.057	5.541
200.256	5.429
199.517	5.305
198.772	5.198
198.021	5.075
197.293	4.973
196.457	4.870
195.513	4.773
194.668	4.658
193.733	4.564
192.994	4.474
192.994	4.474
192.126	4.390
191.061	4.302
189.912	4.211
188.773	4.093
187.730	4.009
186.573	3.939
185.624	3.859
184.272	3.771
182.961	3.693
181.894	3.633
180.730	3.570
179.806	3.523
178.852	3.463
177.896	3.417
176.875	3.370
176.057	3.315
175.002	3.259
174.031	3.215
172.992	3.182
171.883	3.125
170.927	3.082
169.791	3.051
168.546	2.999
167.513	2.948
166.481	2.928
165.352	2.877
164.311	2.828
163.297	2.803
162.101	2.777
161.039	2.741
160.003	2.694
158.853	2.655
157.798	2.618
156.526	2.565
155.364	2.512
154.010	2.456
152.979	2.416
151.779	2.373
150.812	2.331
149.859	2.292
148.840	2.244
147.985	2.202
147.007	2.164
146.070	2.126
145.341	2.076
144.480	2.035
143.608	1.993
142.880	1.954
142.236	1.927
141.288	1.881
140.549	1.837
139.597	1.787
138.778	1.739
138.060	1.697
137.292	1.662
136.626	1.624
135.803	1.587
134.955	1.554
134.225	1.517
133.601	1.477
132.867	1.448
132.049	1.420
131.232	1.395
130.395	1.366
129.663	1.343
128.904	1.314
128.120	1.291
127.487	1.275
126.536	1.253
125.817	1.232
124.979	1.211
124.156	1.191
123.315	1.171
122.087	1.152
121.062	1.138
120.144	1.118
119.142	1.098
118.172	1.088
116.893	1.068
115.766	1.049
114.488	1.030
113.315	1.016
112.043	1.001
110.786	0.988
109.758	0.978
108.928	0.968
107.805	0.955
106.653	0.942
105.389	0.931
104.376	0.919
103.334	0.910
101.999	0.900
100.774	0.888
99.376	0.875
98.234	0.864
96.903	0.858
95.869	0.846
94.522	0.835
93.313	0.823
91.808	0.811
90.331	0.800
89.060	0.789
87.941	0.779
87.002	0.767
85.962	0.760
84.924	0.749
83.670	0.739
82.550	0.726
81.182	0.716
80.214	0.708
79.045	0.696
78.131	0.686
77.092	0.677
76.272	0.670
75.338	0.658
74.174	0.654
73.012	0.638
71.986	0.631
70.931	0.621
69.882	0.608
68.835	0.599
67.702	0.591
66.758	0.581
65.705	0.570
64.666	0.558
63.601	0.549
62.463	0.537
61.422	0.525
60.176	0.512
59.020	0.504
57.858	0.491
56.783	0.481
55.476	0.469
54.541	0.460
53.259	0.450
52.237	0.442
51.156	0.433
50.404	0.424
