m_muR	muR-m_DM
100.442	15.719
101.117	15.662
102.398	15.610
103.491	15.524
104.934	15.335
106.086	15.278
107.376	15.121
108.521	14.962
109.752	14.852
111.037	14.739
111.975	14.685
112.816	14.531
113.565	14.414
114.505	14.309
115.301	14.210
116.224	14.098
117.327	14.012
118.501	13.919
119.630	13.817
120.642	13.696
121.870	13.562
122.786	13.505
123.868	13.326
124.938	13.187
126.255	13.052
127.338	12.952
128.426	12.821
129.593	12.715
130.907	12.578
132.173	12.401
133.374	12.237
134.365	12.099
135.449	11.892
136.485	11.769
137.676	11.630
138.771	11.422
139.924	11.221
141.054	11.067
142.368	10.871
143.181	10.696
143.987	10.515
144.859	10.336
145.500	10.158
146.540	9.918
147.367	9.707
148.141	9.483
148.886	9.188
149.435	8.935
149.775	8.636
149.876	8.311
149.878	8.012
149.743	7.716
149.294	7.454
148.760	7.204
148.221	7.005
147.585	6.858
146.749	6.670
145.994	6.514
145.403	6.379
144.619	6.242
143.670	6.096
142.743	5.941
141.697	5.803
140.750	5.682
139.814	5.585
138.924	5.488
137.747	5.366
136.586	5.251
135.550	5.152
134.613	5.048
133.578	4.961
132.620	4.876
131.488	4.794
130.336	4.697
129.113	4.599
128.108	4.537
127.275	4.472
126.322	4.409
125.457	4.347
124.382	4.270
123.322	4.207
122.198	4.133
120.966	4.077
119.703	4.007
118.384	3.935
117.238	3.882
116.089	3.802
115.069	3.751
113.821	3.698
112.776	3.620
111.590	3.571
110.335	3.495
109.256	3.436
108.233	3.378
107.180	3.317
106.134	3.251
105.284	3.206
104.257	3.153
103.064	3.096
102.016	3.033
100.894	2.972
99.930	2.912
98.966	2.850
97.806	2.793
96.620	2.726
95.530	2.659
94.492	2.614
93.336	2.552
92.674	2.516
91.819	2.473
91.173	2.431
90.436	2.378
89.697	2.329
88.868	2.281
87.774	2.235
87.069	2.182
86.216	2.138
85.298	2.086
84.450	2.042
83.631	1.996
82.656	1.954
81.763	1.914
80.952	1.869
80.208	1.832
79.283	1.790
78.546	1.748
77.688	1.722
76.838	1.675
76.107	1.635
75.297	1.607
74.476	1.574
73.510	1.542
72.108	1.498
71.230	1.466
70.057	1.431
69.078	1.397
68.086	1.367
67.213	1.334
66.059	1.306
64.888	1.283
63.836	1.253
62.980	1.229
61.966	1.198
61.038	1.178
60.081	1.158
59.134	1.138
58.203	1.115
57.251	1.088
56.282	1.066
55.436	1.041
54.719	1.027
53.931	1.007
52.665	0.979
51.938	0.959
51.199	0.942
50.470	0.920
